,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Team,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GameType
271,271,271,271,271,Cleveland Cavaliers,Atlanta Hawks,L,11/05/2017,240,42,96,0.438,10,36,0.278,21,23,0.913,15,32,47,27,6,6,13,29,115,-2,regular season
272,272,272,272,272,Miami Heat,Los Angeles Clippers,W,11/05/2017,240,37,84,0.44,14,36,0.389,16,19,0.8420000000000001,10,27,37,23,12,6,16,26,104,3,regular season
273,273,273,273,273,Los Angeles Clippers,Miami Heat,L,11/05/2017,240,34,87,0.391,9,31,0.29,24,30,0.8,18,32,50,16,11,4,15,22,101,-3,regular season
274,274,274,274,274,Boston Celtics,Orlando Magic,W,11/05/2017,240,39,89,0.438,11,33,0.333,15,20,0.75,9,45,54,26,10,1,13,21,104,16,regular season
275,275,275,275,275,Orlando Magic,Boston Celtics,L,11/05/2017,240,33,91,0.363,6,29,0.207,16,18,0.889,10,35,45,18,4,4,13,19,88,-16,regular season
276,276,276,276,276,Washington Wizards,Toronto Raptors,W,11/05/2017,240,40,85,0.471,11,23,0.478,16,23,0.696,11,35,46,19,9,3,17,26,107,11,regular season
277,277,277,277,277,Toronto Raptors,Washington Wizards,L,11/05/2017,240,37,80,0.463,5,24,0.208,17,27,0.63,9,27,36,17,7,8,13,24,96,-11,regular season
278,278,278,278,278,Utah Jazz,Houston Rockets,L,11/05/2017,240,38,88,0.4320000000000001,13,34,0.382,21,24,0.875,8,25,33,22,7,3,13,18,110,-27,regular season
279,279,279,279,279,Houston Rockets,Utah Jazz,W,11/05/2017,240,48,81,0.593,23,39,0.59,18,21,0.857,5,37,42,26,9,7,20,24,137,27,regular season
280,280,280,280,280,Phoenix Suns,San Antonio Spurs,L,11/05/2017,240,37,81,0.457,8,23,0.348,13,22,0.591,11,34,45,23,5,4,18,16,95,-17,regular season
281,281,281,281,281,San Antonio Spurs,Phoenix Suns,W,11/05/2017,240,44,88,0.5,11,22,0.5,13,18,0.722,8,35,43,21,9,4,9,19,112,17,regular season
282,282,282,282,282,Indiana Pacers,New York Knicks,L,11/05/2017,240,37,79,0.468,12,25,0.48,15,17,0.882,4,30,34,24,6,2,12,17,101,-7,regular season
