,name,positions,player_url,number,height,weight,team,Year
27,Carsen Edwards,SG,https://www.basketball-reference.com/players/e/edwarca01.html,4,5-11,200,Boston Celtics,2020
28,Romeo Langford,SG,https://www.basketball-reference.com/players/l/langfro01.html,45,6-4,216,Boston Celtics,2020
29,Robert Williams,C,https://www.basketball-reference.com/players/w/williro04.html,44,6-8,237,Boston Celtics,2020
30,Vincent Poirier,C,https://www.basketball-reference.com/players/p/poirivi01.html,77,7-0,235,Boston Celtics,2020
31,Tremont Waters,PG,https://www.basketball-reference.com/players/w/watertr01.html,51,5-10,175,Boston Celtics,2020
32,Tacko Fall,C,https://www.basketball-reference.com/players/f/fallta01.html,99,7-5,311,Boston Celtics,2020
33,Jarrett Allen,C,https://www.basketball-reference.com/players/a/allenja01.html,31,6-11,243,Brooklyn Nets,2020
34,Joe Harris,SF,https://www.basketball-reference.com/players/h/harrijo01.html,12,6-6,220,Brooklyn Nets,2020
35,Spencer Dinwiddie,SG,https://www.basketball-reference.com/players/d/dinwisp01.html,8-26,6-5,215,Brooklyn Nets,2020
36,Taurean Prince,SF,https://www.basketball-reference.com/players/p/princta02.html,2,6-7,218,Brooklyn Nets,2020
37,Garrett Temple,SG,https://www.basketball-reference.com/players/t/templga01.html,17,6-5,195,Brooklyn Nets,2020
38,DeAndre Jordan,C,https://www.basketball-reference.com/players/j/jordade01.html,6,6-11,265,Brooklyn Nets,2020
39,Timothe Luwawu-Cabarrot,SG,https://www.basketball-reference.com/players/l/luwawti01.html,9,6-7,220,Brooklyn Nets,2020
40,Rodions Kurucs,PF,https://www.basketball-reference.com/players/k/kurucro01.html,00,6-9,228,Brooklyn Nets,2020
41,Caris LeVert,SG,https://www.basketball-reference.com/players/l/leverca01.html,22,6-6,205,Brooklyn Nets,2020
42,Dzanan Musa,SF,https://www.basketball-reference.com/players/m/musadz01.html,13,6-9,217,Brooklyn Nets,2020
43,Wilson Chandler,SF,https://www.basketball-reference.com/players/c/chandwi01.html,21,6-8,235,Brooklyn Nets,2020
44,Kyrie Irving,PG,https://www.basketball-reference.com/players/i/irvinky01.html,11,6-2,195,Brooklyn Nets,2020
45,Chris Chiozza,PG,https://www.basketball-reference.com/players/c/chiozch01.html,4,5-11,175,Brooklyn Nets,2020
46,Nicolas Claxton,PF,https://www.basketball-reference.com/players/c/claxtni01.html,33,6-11,215,Brooklyn Nets,2020
47,Justin Anderson,SF,https://www.basketball-reference.com/players/a/anderju01.html,10,6-6,230,Brooklyn Nets,2020
48,Jeremiah Martin,PG,https://www.basketball-reference.com/players/m/martije02.html,0,6-3,185,Brooklyn Nets,2020
49,Tyler Johnson,SG,https://www.basketball-reference.com/players/j/johnsty01.html,8,6-3,186,Brooklyn Nets,2020
50,Lance Thomas,SF,https://www.basketball-reference.com/players/t/thomala01.html,42,6-8,240,Brooklyn Nets,2020
51,Donta Hall,PF,https://www.basketball-reference.com/players/h/halldo01.html,45,6-9,232,Brooklyn Nets,2020
52,Jamal Crawford,SG,https://www.basketball-reference.com/players/c/crawfja01.html,1,6-5,185,Brooklyn Nets,2020
53,Kevin Durant,F-G,https://www.basketball-reference.com/players/d/duranke01.html,,6-10,240,Brooklyn Nets,2020
54,Miles Bridges,SF,https://www.basketball-reference.com/players/b/bridgmi02.html,0,6-6,225,Charlotte Hornets,2020
55,Devonte' Graham,PG,https://www.basketball-reference.com/players/g/grahade01.html,4,6-1,195,Charlotte Hornets,2020
56,Terry Rozier,PG,https://www.basketball-reference.com/players/r/roziete01.html,3,6-1,190,Charlotte Hornets,2020
57,P.J. Washington,PF,https://www.basketball-reference.com/players/w/washipj01.html,25,6-7,230,Charlotte Hornets,2020
58,Cody Zeller,C,https://www.basketball-reference.com/players/z/zelleco01.html,40,7-0,240,Charlotte Hornets,2020
59,Malik Monk,SG,https://www.basketball-reference.com/players/m/monkma01.html,1,6-3,200,Charlotte Hornets,2020
60,Bismack Biyombo,C,https://www.basketball-reference.com/players/b/biyombi01.html,8,6-8,255,Charlotte Hornets,2020
61,Cody Martin,SF,https://www.basketball-reference.com/players/m/martico01.html,11,6-5,205,Charlotte Hornets,2020
62,Dwayne Bacon,SG,https://www.basketball-reference.com/players/b/bacondw01.html,7,6-6,221,Charlotte Hornets,2020
63,Willy Hernangomez,C,https://www.basketball-reference.com/players/h/hernawi01.html,9,6-11,250,Charlotte Hornets,2020
64,Nicolas Batum,SF,https://www.basketball-reference.com/players/b/batumni01.html,5,6-9,230,Charlotte Hornets,2020
65,Caleb Martin,SF,https://www.basketball-reference.com/players/m/martica02.html,10,6-5,205,Charlotte Hornets,2020
66,Jalen McDaniels,PF,https://www.basketball-reference.com/players/m/mcdanja01.html,6,6-10,205,Charlotte Hornets,2020
67,Kobi Simmons,G,https://www.basketball-reference.com/players/s/simmoko01.html,,6-5,166,Charlotte Hornets,2020
68,Ray Spalding,F,https://www.basketball-reference.com/players/s/spaldra01.html,,6-10,215,Charlotte Hornets,2020
69,Coby White,SG,https://www.basketball-reference.com/players/w/whiteco01.html,0,6-4,195,Chicago Bulls,2020
70,Tomas Satoransky,PG,https://www.basketball-reference.com/players/s/satorto01.html,31,6-7,210,Chicago Bulls,2020
71,Thaddeus Young,PF,https://www.basketball-reference.com/players/y/youngth01.html,21,6-8,235,Chicago Bulls,2020
72,Zach LaVine,SG,https://www.basketball-reference.com/players/l/lavinza01.html,8,6-6,200,Chicago Bulls,2020
73,Ryan Arcidiacono,PG,https://www.basketball-reference.com/players/a/arcidry01.html,51,6-3,195,Chicago Bulls,2020
74,Kris Dunn,PG,https://www.basketball-reference.com/players/d/dunnkr01.html,32,6-3,205,Chicago Bulls,2020
75,Lauri Markkanen,PF,https://www.basketball-reference.com/players/m/markkla01.html,24,7-0,240,Chicago Bulls,2020
76,Wendell Carter Jr.,C,https://www.basketball-reference.com/players/c/cartewe01.html,34,6-9,270,Chicago Bulls,2020
77,Daniel Gafford,C,https://www.basketball-reference.com/players/g/gaffoda01.html,12,6-10,234,Chicago Bulls,2020
78,Shaquille Harrison,SF,https://www.basketball-reference.com/players/h/harrish01.html,3,6-7,190,Chicago Bulls,2020
79,Denzel Valentine,SF,https://www.basketball-reference.com/players/v/valende01.html,45,6-4,220,Chicago Bulls,2020
80,Luke Kornet,C,https://www.basketball-reference.com/players/k/kornelu01.html,2,7-2,250,Chicago Bulls,2020
81,Chandler Hutchison,SF,https://www.basketball-reference.com/players/h/hutchch01.html,15,6-7,210,Chicago Bulls,2020
82,Cristiano Felicio,PF,https://www.basketball-reference.com/players/f/feliccr01.html,6,6-10,270,Chicago Bulls,2020
83,Otto Porter,SF,https://www.basketball-reference.com/players/p/porteot01.html,22,6-8,198,Chicago Bulls,2020
84,Adam Mokoka,SG,https://www.basketball-reference.com/players/m/mokokad01.html,20,6-5,190,Chicago Bulls,2020
85,Max Strus,SG,https://www.basketball-reference.com/players/s/strusma01.html,28,6-6,215,Chicago Bulls,2020
86,Collin Sexton,SG,https://www.basketball-reference.com/players/s/sextoco01.html,2,6-1,190,Cleveland Cavaliers,2020
87,Cedi Osman,SF,https://www.basketball-reference.com/players/o/osmande01.html,16,6-7,230,Cleveland Cavaliers,2020
88,Darius Garland,PG,https://www.basketball-reference.com/players/g/garlada01.html,10,6-1,192,Cleveland Cavaliers,2020
89,Tristan Thompson,C,https://www.basketball-reference.com/players/t/thomptr01.html,13,6-9,254,Cleveland Cavaliers,2020
90,Matthew Dellavedova,PG,https://www.basketball-reference.com/players/d/dellama01.html,18,6-3,200,Cleveland Cavaliers,2020
91,Kevin Love,PF,https://www.basketball-reference.com/players/l/loveke01.html,0,6-8,251,Cleveland Cavaliers,2020
92,Larry Nance Jr.,C,https://www.basketball-reference.com/players/n/nancela02.html,22,6-7,245,Cleveland Cavaliers,2020
93,Kevin Porter Jr.,SF,https://www.basketball-reference.com/players/p/porteke02.html,4,6-4,203,Cleveland Cavaliers,2020
94,Alfonzo McKinnie,SF,https://www.basketball-reference.com/players/m/mckinal01.html,28,6-7,215,Cleveland Cavaliers,2020
95,Dante Exum,SG,https://www.basketball-reference.com/players/e/exumda01.html,1,6-5,214,Cleveland Cavaliers,2020
96,Ante Zizic,C,https://www.basketball-reference.com/players/z/zizican01.html,41,6-10,266,Cleveland Cavaliers,2020
97,Dean Wade,PF,https://www.basketball-reference.com/players/w/wadede01.html,32,6-9,228,Cleveland Cavaliers,2020
98,Andre Drummond,C,https://www.basketball-reference.com/players/d/drumman01.html,3,6-10,279,Cleveland Cavaliers,2020
99,Matt Mooney,SG,https://www.basketball-reference.com/players/m/moonema01.html,31,6-3,199,Cleveland Cavaliers,2020
100,Jordan Bell,F,https://www.basketball-reference.com/players/b/belljo01.html,,6-8,216,Cleveland Cavaliers,2020
101,Dylan Windler,G-F,https://www.basketball-reference.com/players/w/windldy01.html,,6-6,196,Cleveland Cavaliers,2020
102,Maxi Kleber,C,https://www.basketball-reference.com/players/k/klebima01.html,42,6-10,240,Dallas Mavericks,2020
103,Delon Wright,SG,https://www.basketball-reference.com/players/w/wrighde01.html,55,6-5,185,Dallas Mavericks,2020
104,Tim Hardaway Jr.,SG,https://www.basketball-reference.com/players/h/hardati02.html,11,6-5,205,Dallas Mavericks,2020
105,Dorian Finney-Smith,PF,https://www.basketball-reference.com/players/f/finnedo01.html,10,6-7,220,Dallas Mavericks,2020
106,Justin Jackson,PF,https://www.basketball-reference.com/players/j/jacksju01.html,44,6-7,220,Dallas Mavericks,2020
107,Seth Curry,SG,https://www.basketball-reference.com/players/c/curryse01.html,30,6-2,185,Dallas Mavericks,2020
108,Luka Doncic,PG,https://www.basketball-reference.com/players/d/doncilu01.html,77,6-7,230,Dallas Mavericks,2020
109,Kristaps Porzingis,PF,https://www.basketball-reference.com/players/p/porzikr01.html,6,7-3,240,Dallas Mavericks,2020
110,Jalen Brunson,PG,https://www.basketball-reference.com/players/b/brunsja01.html,13,6-1,190,Dallas Mavericks,2020
111,Boban Marjanovic,C,https://www.basketball-reference.com/players/m/marjabo01.html,51,7-4,290,Dallas Mavericks,2020
112,Dwight Powell,C,https://www.basketball-reference.com/players/p/poweldw01.html,7,6-10,240,Dallas Mavericks,2020
113,J.J. Barea,PG,https://www.basketball-reference.com/players/b/bareajo01.html,5,5-10,180,Dallas Mavericks,2020
114,Courtney Lee,SG,https://www.basketball-reference.com/players/l/leeco01.html,1,6-5,215,Dallas Mavericks,2020
115,Willie Cauley-Stein,C,https://www.basketball-reference.com/players/c/caulewi01.html,33,7-0,240,Dallas Mavericks,2020
116,Michael Kidd-Gilchrist,SF,https://www.basketball-reference.com/players/k/kiddgmi01.html,9,6-6,232,Dallas Mavericks,2020
117,Antonius Cleveland,SG,https://www.basketball-reference.com/players/c/clevean01.html,3,6-5,195,Dallas Mavericks,2020
118,Trey Burke,PG,https://www.basketball-reference.com/players/b/burketr01.html,32,6-0,185,Dallas Mavericks,2020
119,Josh Reaves,SG,https://www.basketball-reference.com/players/r/reavejo02.html,23,6-4,214,Dallas Mavericks,2020
120,Nikola Jokic,C,https://www.basketball-reference.com/players/j/jokicni01.html,15,7-0,284,Denver Nuggets,2020
121,Monte Morris,PG,https://www.basketball-reference.com/players/m/morrimo01.html,11,6-2,183,Denver Nuggets,2020
122,Jerami Grant,PF,https://www.basketball-reference.com/players/g/grantje01.html,9,6-8,210,Denver Nuggets,2020
123,Mason Plumlee,C,https://www.basketball-reference.com/players/p/plumlma01.html,7-24,6-11,254,Denver Nuggets,2020
124,Jamal Murray,PG,https://www.basketball-reference.com/players/m/murraja01.html,27,6-4,215,Denver Nuggets,2020
125,Will Barton,SF,https://www.basketball-reference.com/players/b/bartowi01.html,5,6-5,181,Denver Nuggets,2020
126,Torrey Craig,SF,https://www.basketball-reference.com/players/c/craigto01.html,3,6-7,221,Denver Nuggets,2020
127,Gary Harris,SG,https://www.basketball-reference.com/players/h/harriga01.html,14,6-4,210,Denver Nuggets,2020
128,Michael Porter Jr.,PF,https://www.basketball-reference.com/players/p/portemi01.html,1,6-10,218,Denver Nuggets,2020
129,Paul Millsap,PF,https://www.basketball-reference.com/players/m/millspa01.html,4,6-7,257,Denver Nuggets,2020
130,PJ Dozier,PG,https://www.basketball-reference.com/players/d/doziepj01.html,35,6-6,205,Denver Nuggets,2020
131,Vlatko Cancar,SF,https://www.basketball-reference.com/players/c/cancavl01.html,31,6-8,236,Denver Nuggets,2020
132,Bol Bol,SF,https://www.basketball-reference.com/players/b/bolbo01.html,10,7-2,220,Denver Nuggets,2020
133,Keita Bates-Diop,SF,https://www.basketball-reference.com/players/b/bateske01.html,6,6-8,229,Denver Nuggets,2020
134,Noah Vonleh,PF,https://www.basketball-reference.com/players/v/vonleno01.html,32,6-10,257,Denver Nuggets,2020
135,Troy Daniels,SG,https://www.basketball-reference.com/players/d/danietr01.html,30,6-4,200,Denver Nuggets,2020
136,Tyler Cook,PF,https://www.basketball-reference.com/players/c/cookty01.html,25,6-8,255,Denver Nuggets,2020
137,Langston Galloway,SG,https://www.basketball-reference.com/players/g/gallola01.html,9,6-1,200,Detroit Pistons,2020
138,Christian Wood,PF,https://www.basketball-reference.com/players/w/woodch01.html,35,6-10,214,Detroit Pistons,2020
139,Thon Maker,C,https://www.basketball-reference.com/players/m/makerth01.html,7,7-0,221,Detroit Pistons,2020
140,Tony Snell,SF,https://www.basketball-reference.com/players/s/snellto01.html,17,6-6,213,Detroit Pistons,2020
141,Bruce Brown,SG,https://www.basketball-reference.com/players/b/brownbr01.html,6,6-4,202,Detroit Pistons,2020
142,Sviatoslav Mykhailiuk,SF,https://www.basketball-reference.com/players/m/mykhasv01.html,19,6-7,205,Detroit Pistons,2020
143,Derrick Rose,PG,https://www.basketball-reference.com/players/r/rosede01.html,25,6-2,200,Detroit Pistons,2020
144,Sekou Doumbouya,SF,https://www.basketball-reference.com/players/d/doumbse01.html,45,6-8,230,Detroit Pistons,2020
145,Luke Kennard,SG,https://www.basketball-reference.com/players/k/kennalu01.html,5,6-5,206,Detroit Pistons,2020
146,Blake Griffin,PF,https://www.basketball-reference.com/players/g/griffbl01.html,23,6-9,250,Detroit Pistons,2020
147,John Henson,PF,https://www.basketball-reference.com/players/h/hensojo01.html,31,6-9,219,Detroit Pistons,2020
148,Louis King,SF,https://www.basketball-reference.com/players/k/kinglo02.html,14,6-7,205,Detroit Pistons,2020
149,Jordan Bone,PG,https://www.basketball-reference.com/players/b/bonejo01.html,18,6-3,180,Detroit Pistons,2020
150,Brandon Knight,PG,https://www.basketball-reference.com/players/k/knighbr03.html,20,6-2,182,Detroit Pistons,2020
151,Khyri Thomas,SG,https://www.basketball-reference.com/players/t/thomakh01.html,13,6-3,210,Detroit Pistons,2020
152,Jordan McRae,SG,https://www.basketball-reference.com/players/m/mcraejo01.html,52,6-5,179,Detroit Pistons,2020
153,Justin Patton,C,https://www.basketball-reference.com/players/p/pattoju01.html,,6-11,241,Detroit Pistons,2020
154,Eric Paschall,PF,https://www.basketball-reference.com/players/p/pascher01.html,7,6-6,255,Golden State Warriors,2020
155,Marquese Chriss,PF,https://www.basketball-reference.com/players/c/chrisma01.html,32,6-9,240,Golden State Warriors,2020
156,Jordan Poole,SG,https://www.basketball-reference.com/players/p/poolejo01.html,3,6-4,194,Golden State Warriors,2020
157,Damion Lee,SG,https://www.basketball-reference.com/players/l/leeda03.html,1,6-5,210,Golden State Warriors,2020
158,Ky Bowman,PG,https://www.basketball-reference.com/players/b/bowmaky01.html,12,6-1,187,Golden State Warriors,2020
159,Draymond Green,PF,https://www.basketball-reference.com/players/g/greendr01.html,23,6-6,230,Golden State Warriors,2020
160,Kevon Looney,C,https://www.basketball-reference.com/players/l/looneke01.html,5,6-9,222,Golden State Warriors,2020
161,Alen Smailagic,PF,https://www.basketball-reference.com/players/s/smailal01.html,6,6-10,215,Golden State Warriors,2020
162,Juan Toscano-Anderson,SF,https://www.basketball-reference.com/players/t/toscaju01.html,95,6-6,209,Golden State Warriors,2020
163,Andrew Wiggins,SG,https://www.basketball-reference.com/players/w/wiggian01.html,22,6-7,197,Golden State Warriors,2020
164,Mychal Mulder,SG,https://www.basketball-reference.com/players/m/muldemy01.html,15,6-4,184,Golden State Warriors,2020
165,Stephen Curry,PG,https://www.basketball-reference.com/players/c/curryst01.html,30,6-3,185,Golden State Warriors,2020
166,Klay Thompson,G-F,https://www.basketball-reference.com/players/t/thompkl01.html,,6-6,215,Golden State Warriors,2020
167,P.J. Tucker,PF,https://www.basketball-reference.com/players/t/tuckepj01.html,17,6-5,245,Houston Rockets,2020
168,Ben McLemore,SG,https://www.basketball-reference.com/players/m/mclembe01.html,16,6-3,195,Houston Rockets,2020
169,James Harden,SG,https://www.basketball-reference.com/players/h/hardeja01.html,13,6-5,220,Houston Rockets,2020
170,Austin Rivers,SG,https://www.basketball-reference.com/players/r/riverau01.html,25,6-3,200,Houston Rockets,2020
171,Danuel House,SF,https://www.basketball-reference.com/players/h/houseda01.html,4,6-6,220,Houston Rockets,2020
172,Russell Westbrook,PG,https://www.basketball-reference.com/players/w/westbru01.html,0,6-3,200,Houston Rockets,2020
173,Thabo Sefolosha,PF,https://www.basketball-reference.com/players/s/sefolth01.html,18,6-6,215,Houston Rockets,2020
174,Eric Gordon,SF,https://www.basketball-reference.com/players/g/gordoer01.html,10,6-3,215,Houston Rockets,2020
175,Chris Clemons,SG,https://www.basketball-reference.com/players/c/clemoch01.html,3,5-9,180,Houston Rockets,2020
176,Tyson Chandler,C,https://www.basketball-reference.com/players/c/chandty01.html,19,7-0,235,Houston Rockets,2020
177,Robert Covington,C,https://www.basketball-reference.com/players/c/covinro01.html,33,6-7,209,Houston Rockets,2020
178,Jeff Green,C,https://www.basketball-reference.com/players/g/greenje02.html,32,6-8,235,Houston Rockets,2020
179,Michael Frazier,SG,https://www.basketball-reference.com/players/f/frazimi01.html,21,6-3,200,Houston Rockets,2020
180,DeMarre Carroll,PF,https://www.basketball-reference.com/players/c/carrode01.html,9,6-6,215,Houston Rockets,2020
181,Bruno Caboclo,C,https://www.basketball-reference.com/players/c/cabocbr01.html,5,6-9,218,Houston Rockets,2020
182,Luc Mbah a Moute,PF,https://www.basketball-reference.com/players/m/mbahalu01.html,12,6-8,230,Houston Rockets,2020
183,William Howard,PF,https://www.basketball-reference.com/players/h/howarwi01.html,52,6-8,207,Houston Rockets,2020
184,David Nwaba,G,https://www.basketball-reference.com/players/n/nwabada01.html,,6-5,219,Houston Rockets,2020
185,Justin Holiday,SG,https://www.basketball-reference.com/players/h/holidju01.html,8,6-6,180,Indiana Pacers,2020
186,T.J. McConnell,PG,https://www.basketball-reference.com/players/m/mccontj01.html,9,6-1,190,Indiana Pacers,2020
187,Doug McDermott,PF,https://www.basketball-reference.com/players/m/mcderdo01.html,20,6-7,225,Indiana Pacers,2020
188,T.J. Warren,SF,https://www.basketball-reference.com/players/w/warretj01.html,1,6-8,220,Indiana Pacers,2020
189,Aaron Holiday,PG,https://www.basketball-reference.com/players/h/holidaa01.html,3,6-0,185,Indiana Pacers,2020
190,Domantas Sabonis,PF,https://www.basketball-reference.com/players/s/sabondo01.html,11,6-11,240,Indiana Pacers,2020
191,Myles Turner,C,https://www.basketball-reference.com/players/t/turnemy01.html,33,6-11,250,Indiana Pacers,2020
192,Malcolm Brogdon,PG,https://www.basketball-reference.com/players/b/brogdma01.html,7,6-5,229,Indiana Pacers,2020
193,Goga Bitadze,C,https://www.basketball-reference.com/players/b/bitadgo01.html,88,6-11,250,Indiana Pacers,2020
194,Jeremy Lamb,SG,https://www.basketball-reference.com/players/l/lambje01.html,26,6-5,180,Indiana Pacers,2020
195,JaKarr Sampson,SF,https://www.basketball-reference.com/players/s/sampsja02.html,14,6-7,214,Indiana Pacers,2020
196,Edmond Sumner,PG,https://www.basketball-reference.com/players/s/sumneed01.html,5,6-4,196,Indiana Pacers,2020
197,T.J. Leaf,PF,https://www.basketball-reference.com/players/l/leaftj01.html,22,6-10,222,Indiana Pacers,2020
198,Victor Oladipo,SG,https://www.basketball-reference.com/players/o/oladivi01.html,4,6-4,213,Indiana Pacers,2020
199,Alize Johnson,SF,https://www.basketball-reference.com/players/j/johnsal02.html,24,6-7,212,Indiana Pacers,2020
200,Brian Bowen,SG,https://www.basketball-reference.com/players/b/bowenbr02.html,10,6-6,190,Indiana Pacers,2020
201,Naz Mitrou-Long,SG,https://www.basketball-reference.com/players/m/mitrona01.html,15,6-3,218,Indiana Pacers,2020
202,Ivica Zubac,C,https://www.basketball-reference.com/players/z/zubaciv01.html,40,7-0,240,Los Angeles Clippers,2020
203,Lou Williams,SG,https://www.basketball-reference.com/players/w/willilo02.html,23,6-1,175,Los Angeles Clippers,2020
204,Montrezl Harrell,C,https://www.basketball-reference.com/players/h/harremo01.html,5,6-7,240,Los Angeles Clippers,2020
205,JaMychal Green,PF,https://www.basketball-reference.com/players/g/greenja01.html,4,6-8,227,Los Angeles Clippers,2020
206,Patrick Patterson,PF,https://www.basketball-reference.com/players/p/pattepa01.html,54,6-8,235,Los Angeles Clippers,2020
207,Kawhi Leonard,SF,https://www.basketball-reference.com/players/l/leonaka01.html,2,6-7,225,Los Angeles Clippers,2020
208,Rodney McGruder,SG,https://www.basketball-reference.com/players/m/mcgruro01.html,19,6-4,205,Los Angeles Clippers,2020
209,Landry Shamet,SG,https://www.basketball-reference.com/players/s/shamela01.html,20,6-4,190,Los Angeles Clippers,2020
210,Patrick Beverley,PG,https://www.basketball-reference.com/players/b/beverpa01.html,21,6-1,180,Los Angeles Clippers,2020
211,Paul George,SF,https://www.basketball-reference.com/players/g/georgpa01.html,13,6-8,220,Los Angeles Clippers,2020
212,Terance Mann,SG,https://www.basketball-reference.com/players/m/mannte01.html,14,6-5,215,Los Angeles Clippers,2020
213,Marcus Morris,PF,https://www.basketball-reference.com/players/m/morrima03.html,31,6-8,218,Los Angeles Clippers,2020
214,Amir Coffey,SG,https://www.basketball-reference.com/players/c/coffeam01.html,7,6-7,210,Los Angeles Clippers,2020
215,Reggie Jackson,PG,https://www.basketball-reference.com/players/j/jacksre01.html,1,6-3,208,Los Angeles Clippers,2020
216,Johnathan Motley,PF,https://www.basketball-reference.com/players/m/motlejo01.html,15,6-8,230,Los Angeles Clippers,2020
217,Mfiondu Kabengele,C,https://www.basketball-reference.com/players/k/kabenmf01.html,25,6-9,250,Los Angeles Clippers,2020
218,Joakim Noah,C,https://www.basketball-reference.com/players/n/noahjo01.html,55,6-11,230,Los Angeles Clippers,2020
219,Kentavious Caldwell-Pope,SG,https://www.basketball-reference.com/players/c/caldwke01.html,1,6-5,204,Los Angeles Lakers,2020
220,Dwight Howard,C,https://www.basketball-reference.com/players/h/howardw01.html,39,6-10,265,Los Angeles Lakers,2020
221,Danny Green,SG,https://www.basketball-reference.com/players/g/greenda02.html,14,6-6,215,Los Angeles Lakers,2020
222,JaVale McGee,C,https://www.basketball-reference.com/players/m/mcgeeja01.html,7,7-0,270,Los Angeles Lakers,2020
223,LeBron James,PG,https://www.basketball-reference.com/players/j/jamesle01.html,23,6-9,250,Los Angeles Lakers,2020
224,Alex Caruso,PG,https://www.basketball-reference.com/players/c/carusal01.html,4,6-5,186,Los Angeles Lakers,2020
225,Anthony Davis,PF,https://www.basketball-reference.com/players/d/davisan02.html,3,6-10,253,Los Angeles Lakers,2020
226,Kyle Kuzma,PF,https://www.basketball-reference.com/players/k/kuzmaky01.html,0,6-8,221,Los Angeles Lakers,2020
227,Avery Bradley,SG,https://www.basketball-reference.com/players/b/bradlav01.html,11,6-3,180,Los Angeles Lakers,2020
228,Rajon Rondo,PG,https://www.basketball-reference.com/players/r/rondora01.html,9,6-1,180,Los Angeles Lakers,2020
229,Jared Dudley,SF,https://www.basketball-reference.com/players/d/dudleja01.html,10,6-6,237,Los Angeles Lakers,2020
230,Quinn Cook,PG,https://www.basketball-reference.com/players/c/cookqu01.html,2-28,6-1,180,Los Angeles Lakers,2020
231,Markieff Morris,PF,https://www.basketball-reference.com/players/m/morrima02.html,88,6-8,245,Los Angeles Lakers,2020
232,Dion Waiters,SG,https://www.basketball-reference.com/players/w/waitedi01.html,18,6-3,215,Los Angeles Lakers,2020
233,Talen Horton-Tucker,SG,https://www.basketball-reference.com/players/h/hortota01.html,5,6-4,234,Los Angeles Lakers,2020
234,J.R. Smith,SG,https://www.basketball-reference.com/players/s/smithjr01.html,21,6-6,225,Los Angeles Lakers,2020
235,Kostas Antetokounmpo,PF,https://www.basketball-reference.com/players/a/antetko01.html,37,6-10,200,Los Angeles Lakers,2020
236,Devontae Cacok,C,https://www.basketball-reference.com/players/c/cacokde01.html,12,6-7,240,Los Angeles Lakers,2020
