,name,positions,player_url,number,height,weight,team,Year
21,Andrew White,SF,https://www.basketball-reference.com/players/w/whitean01.html,4,6-7,210,Atlanta Hawks,2018
22,Kadeem Allen,PG,https://www.basketball-reference.com/players/a/allenka01.html,45,6-1,200,Boston Celtics,2018
23,Aron Baynes,C,https://www.basketball-reference.com/players/b/baynear01.html,46,6-10,260,Boston Celtics,2018
24,Jabari Bird,SG,https://www.basketball-reference.com/players/b/birdja01.html,26,6-6,198,Boston Celtics,2018
25,Jaylen Brown,SG,https://www.basketball-reference.com/players/b/brownja02.html,7,6-6,223,Boston Celtics,2018
26,Jarell Eddie,SF,https://www.basketball-reference.com/players/e/eddieja01.html,9,6-7,218,Boston Celtics,2018
27,Jonathan Gibson,PG,https://www.basketball-reference.com/players/g/gibsojo01.html,60,6-2,185,Boston Celtics,2018
28,Gordon Hayward,SF,https://www.basketball-reference.com/players/h/haywago01.html,20,6-7,225,Boston Celtics,2018
29,Al Horford,C,https://www.basketball-reference.com/players/h/horfoal01.html,42,6-9,240,Boston Celtics,2018
30,Kyrie Irving,PG,https://www.basketball-reference.com/players/i/irvinky01.html,11,6-2,195,Boston Celtics,2018
31,Shane Larkin,PG,https://www.basketball-reference.com/players/l/larkish01.html,8,5-11,175,Boston Celtics,2018
32,Greg Monroe,C,https://www.basketball-reference.com/players/m/monrogr01.html,55,6-11,265,Boston Celtics,2018
33,Marcus Morris,PF,https://www.basketball-reference.com/players/m/morrima03.html,13,6-8,218,Boston Celtics,2018
34,Abdel Nader,SF,https://www.basketball-reference.com/players/n/naderab01.html,28,6-5,225,Boston Celtics,2018
35,Semi Ojeleye,PF,https://www.basketball-reference.com/players/o/ojelese01.html,37,6-6,240,Boston Celtics,2018
36,Terry Rozier,PG,https://www.basketball-reference.com/players/r/roziete01.html,12,6-1,190,Boston Celtics,2018
37,Xavier Silas,SG,https://www.basketball-reference.com/players/s/silasxa01.html,9,6-5,205,Boston Celtics,2018
38,Marcus Smart,SG,https://www.basketball-reference.com/players/s/smartma01.html,36,6-3,220,Boston Celtics,2018
39,Jayson Tatum,SF,https://www.basketball-reference.com/players/t/tatumja01.html,0,6-8,210,Boston Celtics,2018
40,Daniel Theis,C,https://www.basketball-reference.com/players/t/theisda01.html,27,6-8,245,Boston Celtics,2018
41,Guerschon Yabusele,PF,https://www.basketball-reference.com/players/y/yabusgu01.html,30,6-8,260,Boston Celtics,2018
42,Quincy Acy,PF,https://www.basketball-reference.com/players/a/acyqu01.html,13,6-7,240,Brooklyn Nets,2018
43,Jarrett Allen,C,https://www.basketball-reference.com/players/a/allenja01.html,31,6-11,243,Brooklyn Nets,2018
44,Trevor Booker,PF,https://www.basketball-reference.com/players/b/booketr01.html,35,6-8,228,Brooklyn Nets,2018
45,DeMarre Carroll,PF,https://www.basketball-reference.com/players/c/carrode01.html,9,6-6,215,Brooklyn Nets,2018
46,Allen Crabbe,SG,https://www.basketball-reference.com/players/c/crabbal01.html,33,6-5,212,Brooklyn Nets,2018
47,Dante Cunningham,SF,https://www.basketball-reference.com/players/c/cunnida01.html,44,6-8,230,Brooklyn Nets,2018
48,Spencer Dinwiddie,PG,https://www.basketball-reference.com/players/d/dinwisp01.html,8,6-5,215,Brooklyn Nets,2018
49,Milton Doyle,SG,https://www.basketball-reference.com/players/d/doylemi01.html,14,6-4,185,Brooklyn Nets,2018
50,Joe Harris,SG,https://www.basketball-reference.com/players/h/harrijo01.html,12,6-6,220,Brooklyn Nets,2018
51,Rondae Hollis-Jefferson,SF,https://www.basketball-reference.com/players/h/holliro01.html,24,6-6,217,Brooklyn Nets,2018
52,Sean Kilpatrick,SG,https://www.basketball-reference.com/players/k/kilpase01.html,6,6-4,210,Brooklyn Nets,2018
53,Caris LeVert,SF,https://www.basketball-reference.com/players/l/leverca01.html,22,6-6,205,Brooklyn Nets,2018
54,Jeremy Lin,PG,https://www.basketball-reference.com/players/l/linje01.html,7,6-3,200,Brooklyn Nets,2018
55,Timofey Mozgov,C,https://www.basketball-reference.com/players/m/mozgoti01.html,20,7-1,275,Brooklyn Nets,2018
56,Jahlil Okafor,C,https://www.basketball-reference.com/players/o/okafoja01.html,4,6-10,270,Brooklyn Nets,2018
57,D'Angelo Russell,PG,https://www.basketball-reference.com/players/r/russeda01.html,1,6-4,193,Brooklyn Nets,2018
58,Nik Stauskas,SG,https://www.basketball-reference.com/players/s/stausni01.html,2,6-6,205,Brooklyn Nets,2018
59,Rashad Vaughn,SG,https://www.basketball-reference.com/players/v/vaughra01.html,17,6-6,202,Brooklyn Nets,2018
60,James Webb,SF,https://www.basketball-reference.com/players/w/webbja01.html,0,6-9,202,Brooklyn Nets,2018
61,Isaiah Whitehead,PG,https://www.basketball-reference.com/players/w/whiteis01.html,15,6-4,213,Brooklyn Nets,2018
62,Jacob Wiley,PF,https://www.basketball-reference.com/players/w/wileyja01.html,21,6-7,215,Brooklyn Nets,2018
63,Tyler Zeller,C,https://www.basketball-reference.com/players/z/zellety01.html,44,7-0,253,Brooklyn Nets,2018
64,Dwayne Bacon,SG,https://www.basketball-reference.com/players/b/bacondw01.html,7,6-6,221,Charlotte Hornets,2018
65,Nicolas Batum,SG,https://www.basketball-reference.com/players/b/batumni01.html,5,6-9,230,Charlotte Hornets,2018
66,Michael Carter-Williams,PG,https://www.basketball-reference.com/players/c/cartemi01.html,10,6-5,190,Charlotte Hornets,2018
67,Treveon Graham,SG,https://www.basketball-reference.com/players/g/grahatr01.html,21,6-5,219,Charlotte Hornets,2018
68,Willy Hernangomez,C,https://www.basketball-reference.com/players/h/hernawi01.html,41,6-11,250,Charlotte Hornets,2018
69,Dwight Howard,C,https://www.basketball-reference.com/players/h/howardw01.html,12,6-10,265,Charlotte Hornets,2018
70,Frank Kaminsky,PF,https://www.basketball-reference.com/players/k/kaminfr01.html,44,7-0,240,Charlotte Hornets,2018
71,Michael Kidd-Gilchrist,SF,https://www.basketball-reference.com/players/k/kiddgmi01.html,14,6-6,232,Charlotte Hornets,2018
72,Jeremy Lamb,SG,https://www.basketball-reference.com/players/l/lambje01.html,3,6-5,180,Charlotte Hornets,2018
73,Mangok Mathiang,C,https://www.basketball-reference.com/players/m/mathima01.html,9,6-10,230,Charlotte Hornets,2018
74,Malik Monk,SG,https://www.basketball-reference.com/players/m/monkma01.html,1,6-3,200,Charlotte Hornets,2018
75,Johnny O'Bryant,PF,https://www.basketball-reference.com/players/o/obryajo01.html,8,6-9,257,Charlotte Hornets,2018
76,Marcus Paige,PG,https://www.basketball-reference.com/players/p/paigema01.html,4,6-1,175,Charlotte Hornets,2018
77,Julyan Stone,SG,https://www.basketball-reference.com/players/s/stoneju01.html,32,6-6,200,Charlotte Hornets,2018
78,Kemba Walker,PG,https://www.basketball-reference.com/players/w/walkeke02.html,15,6-0,184,Charlotte Hornets,2018
79,Marvin Williams,PF,https://www.basketball-reference.com/players/w/willima02.html,2,6-8,237,Charlotte Hornets,2018
80,Cody Zeller,C,https://www.basketball-reference.com/players/z/zelleco01.html,40,7-0,240,Charlotte Hornets,2018
81,Ryan Arcidiacono,PG,https://www.basketball-reference.com/players/a/arcidry01.html,15,6-3,195,Chicago Bulls,2018
82,Omer Asik,C,https://www.basketball-reference.com/players/a/asikom01.html,3,7-0,255,Chicago Bulls,2018
83,Antonio Blakeney,SG,https://www.basketball-reference.com/players/b/blakean01.html,9,6-4,192,Chicago Bulls,2018
84,Kris Dunn,PG,https://www.basketball-reference.com/players/d/dunnkr01.html,32,6-3,205,Chicago Bulls,2018
85,Jarell Eddie,SF,https://www.basketball-reference.com/players/e/eddieja01.html,31,6-7,218,Chicago Bulls,2018
86,Kay Felder,PG,https://www.basketball-reference.com/players/f/feldeka01.html,3,5-9,176,Chicago Bulls,2018
87,Cristiano Felicio,C,https://www.basketball-reference.com/players/f/feliccr01.html,6,6-10,270,Chicago Bulls,2018
88,Jerian Grant,PG,https://www.basketball-reference.com/players/g/grantje02.html,2,6-4,205,Chicago Bulls,2018
89,Justin Holiday,SG,https://www.basketball-reference.com/players/h/holidju01.html,7,6-6,180,Chicago Bulls,2018
90,Sean Kilpatrick,SG,https://www.basketball-reference.com/players/k/kilpase01.html,0,6-4,210,Chicago Bulls,2018
91,Zach LaVine,SG,https://www.basketball-reference.com/players/l/lavinza01.html,8,6-6,200,Chicago Bulls,2018
92,Robin Lopez,C,https://www.basketball-reference.com/players/l/lopezro01.html,42,7-0,281,Chicago Bulls,2018
93,Lauri Markkanen,PF,https://www.basketball-reference.com/players/m/markkla01.html,24,7-0,240,Chicago Bulls,2018
94,Nikola Mirotic,PF,https://www.basketball-reference.com/players/m/mirotni01.html,44,6-10,250,Chicago Bulls,2018
95,David Nwaba,SG,https://www.basketball-reference.com/players/n/nwabada01.html,11,6-5,219,Chicago Bulls,2018
96,Cameron Payne,PG,https://www.basketball-reference.com/players/p/payneca01.html,22,6-3,190,Chicago Bulls,2018
97,Quincy Pondexter,SF,https://www.basketball-reference.com/players/p/pondequ01.html,20,6-7,230,Chicago Bulls,2018
98,Bobby Portis,PF,https://www.basketball-reference.com/players/p/portibo01.html,5,6-10,250,Chicago Bulls,2018
99,Denzel Valentine,SG,https://www.basketball-reference.com/players/v/valende01.html,45,6-4,220,Chicago Bulls,2018
100,Noah Vonleh,PF,https://www.basketball-reference.com/players/v/vonleno01.html,30,6-10,257,Chicago Bulls,2018
101,Paul Zipser,SF,https://www.basketball-reference.com/players/z/zipsepa01.html,16,6-8,215,Chicago Bulls,2018
102,Jose Calderon,PG,https://www.basketball-reference.com/players/c/caldejo01.html,81,6-3,200,Cleveland Cavaliers,2018
103,Jordan Clarkson,SG,https://www.basketball-reference.com/players/c/clarkjo01.html,8,6-4,194,Cleveland Cavaliers,2018
104,Jae Crowder,SF,https://www.basketball-reference.com/players/c/crowdja01.html,99,6-6,235,Cleveland Cavaliers,2018
105,Channing Frye,C,https://www.basketball-reference.com/players/f/fryech01.html,8,7-0,255,Cleveland Cavaliers,2018
106,Jeff Green,PF,https://www.basketball-reference.com/players/g/greenje02.html,32,6-8,235,Cleveland Cavaliers,2018
107,George Hill,PG,https://www.basketball-reference.com/players/h/hillge01.html,3,6-3,188,Cleveland Cavaliers,2018
108,John Holland,SF,https://www.basketball-reference.com/players/h/hollajo02.html,10,6-5,205,Cleveland Cavaliers,2018
109,Rodney Hood,SG,https://www.basketball-reference.com/players/h/hoodro01.html,1,6-8,208,Cleveland Cavaliers,2018
110,LeBron James,PF,https://www.basketball-reference.com/players/j/jamesle01.html,23,6-9,250,Cleveland Cavaliers,2018
111,Kyle Korver,SG,https://www.basketball-reference.com/players/k/korveky01.html,26,6-7,212,Cleveland Cavaliers,2018
112,Kevin Love,C,https://www.basketball-reference.com/players/l/loveke01.html,0,6-8,251,Cleveland Cavaliers,2018
113,Larry Nance,C,https://www.basketball-reference.com/players/n/nancela02.html,22-24,6-7,245,Cleveland Cavaliers,2018
114,Cedi Osman,SF,https://www.basketball-reference.com/players/o/osmande01.html,16,6-7,230,Cleveland Cavaliers,2018
115,Kendrick Perkins,C,https://www.basketball-reference.com/players/p/perkike01.html,21,6-10,270,Cleveland Cavaliers,2018
116,London Perrantes,PG,https://www.basketball-reference.com/players/p/perralo01.html,15,6-2,200,Cleveland Cavaliers,2018
117,Derrick Rose,PG,https://www.basketball-reference.com/players/r/rosede01.html,1,6-2,200,Cleveland Cavaliers,2018
118,Iman Shumpert,SG,https://www.basketball-reference.com/players/s/shumpim01.html,4,6-5,215,Cleveland Cavaliers,2018
119,J.R. Smith,SG,https://www.basketball-reference.com/players/s/smithjr01.html,5,6-6,225,Cleveland Cavaliers,2018
120,Isaiah Thomas,PG,https://www.basketball-reference.com/players/t/thomais02.html,3,5-9,185,Cleveland Cavaliers,2018
121,Tristan Thompson,C,https://www.basketball-reference.com/players/t/thomptr01.html,13,6-9,254,Cleveland Cavaliers,2018
122,Dwyane Wade,SG,https://www.basketball-reference.com/players/w/wadedw01.html,9,6-4,220,Cleveland Cavaliers,2018
123,Ante Zizic,C,https://www.basketball-reference.com/players/z/zizican01.html,41,6-10,266,Cleveland Cavaliers,2018
124,J.J. Barea,PG,https://www.basketball-reference.com/players/b/bareajo01.html,5,5-10,180,Dallas Mavericks,2018
125,Harrison Barnes,PF,https://www.basketball-reference.com/players/b/barneha02.html,40,6-8,225,Dallas Mavericks,2018
126,Gian Clavell,SG,https://www.basketball-reference.com/players/c/clavegi01.html,8,6-4,185,Dallas Mavericks,2018
127,Antonius Cleveland,SG,https://www.basketball-reference.com/players/c/clevean01.html,44,6-5,195,Dallas Mavericks,2018
128,Kyle Collinsworth,SF,https://www.basketball-reference.com/players/c/colliky01.html,8,6-6,210,Dallas Mavericks,2018
129,Yogi Ferrell,SG,https://www.basketball-reference.com/players/f/ferreyo01.html,11,6-0,178,Dallas Mavericks,2018
130,Dorian Finney-Smith,PF,https://www.basketball-reference.com/players/f/finnedo01.html,10,6-7,220,Dallas Mavericks,2018
131,Devin Harris,PG,https://www.basketball-reference.com/players/h/harride01.html,34,6-3,185,Dallas Mavericks,2018
132,Aaron Harrison,SG,https://www.basketball-reference.com/players/h/harriaa01.html,9,6-6,210,Dallas Mavericks,2018
133,Scotty Hopson,SG,https://www.basketball-reference.com/players/h/hopsosc01.html,32,6-7,204,Dallas Mavericks,2018
134,Jalen Jones,SF,https://www.basketball-reference.com/players/j/jonesja04.html,21,6-7,220,Dallas Mavericks,2018
135,Maxi Kleber,PF,https://www.basketball-reference.com/players/k/klebima01.html,42,6-10,240,Dallas Mavericks,2018
136,Wesley Matthews,SF,https://www.basketball-reference.com/players/m/matthwe02.html,23,6-4,220,Dallas Mavericks,2018
137,Doug McDermott,SF,https://www.basketball-reference.com/players/m/mcderdo01.html,20,6-7,225,Dallas Mavericks,2018
138,Josh McRoberts,PF,https://www.basketball-reference.com/players/m/mcrobjo01.html,13,6-10,240,Dallas Mavericks,2018
139,Salah Mejri,C,https://www.basketball-reference.com/players/m/mejrisa01.html,50,7-2,235,Dallas Mavericks,2018
140,Johnathan Motley,PF,https://www.basketball-reference.com/players/m/motlejo01.html,6,6-8,230,Dallas Mavericks,2018
141,Nerlens Noel,C,https://www.basketball-reference.com/players/n/noelne01.html,3,6-10,220,Dallas Mavericks,2018
142,Dirk Nowitzki,C,https://www.basketball-reference.com/players/n/nowitdi01.html,41,7-0,245,Dallas Mavericks,2018
143,Dwight Powell,C,https://www.basketball-reference.com/players/p/poweldw01.html,7,6-10,240,Dallas Mavericks,2018
144,Dennis Smith,PG,https://www.basketball-reference.com/players/s/smithde03.html,1,6-2,205,Dallas Mavericks,2018
145,Jameel Warney,PF,https://www.basketball-reference.com/players/w/warneja01.html,0,6-8,260,Dallas Mavericks,2018
146,Jeff Withey,C,https://www.basketball-reference.com/players/w/witheje01.html,17,7-0,231,Dallas Mavericks,2018
147,Darrell Arthur,PF,https://www.basketball-reference.com/players/a/arthuda01.html,00,6-9,235,Denver Nuggets,2018
148,Will Barton,SG,https://www.basketball-reference.com/players/b/bartowi01.html,5,6-5,181,Denver Nuggets,2018
149,Malik Beasley,SG,https://www.basketball-reference.com/players/b/beaslma01.html,25,6-4,187,Denver Nuggets,2018
150,Wilson Chandler,SF,https://www.basketball-reference.com/players/c/chandwi01.html,21,6-8,235,Denver Nuggets,2018
151,Torrey Craig,SF,https://www.basketball-reference.com/players/c/craigto01.html,3,6-7,221,Denver Nuggets,2018
152,Kenneth Faried,PF,https://www.basketball-reference.com/players/f/farieke01.html,35,6-8,220,Denver Nuggets,2018
153,Devin Harris,PG,https://www.basketball-reference.com/players/h/harride01.html,34,6-3,185,Denver Nuggets,2018
154,Gary Harris,SG,https://www.basketball-reference.com/players/h/harriga01.html,14,6-4,210,Denver Nuggets,2018
155,Juan Hernangomez,PF,https://www.basketball-reference.com/players/h/hernaju01.html,41,6-9,214,Denver Nuggets,2018
156,Richard Jefferson,SF,https://www.basketball-reference.com/players/j/jefferi01.html,22,6-7,233,Denver Nuggets,2018
157,Nikola Jokic,C,https://www.basketball-reference.com/players/j/jokicni01.html,15,7-0,284,Denver Nuggets,2018
158,Tyler Lydon,PF,https://www.basketball-reference.com/players/l/lydonty01.html,20,6-10,225,Denver Nuggets,2018
159,Trey Lyles,PF,https://www.basketball-reference.com/players/l/lylestr01.html,7,6-9,234,Denver Nuggets,2018
160,Paul Millsap,PF,https://www.basketball-reference.com/players/m/millspa01.html,4,6-7,257,Denver Nuggets,2018
161,Monte Morris,PG,https://www.basketball-reference.com/players/m/morrimo01.html,11,6-2,183,Denver Nuggets,2018
162,Emmanuel Mudiay,PG,https://www.basketball-reference.com/players/m/mudiaem01.html,0,6-3,200,Denver Nuggets,2018
163,Jamal Murray,PG,https://www.basketball-reference.com/players/m/murraja01.html,27,6-4,215,Denver Nuggets,2018
164,Mason Plumlee,C,https://www.basketball-reference.com/players/p/plumlma01.html,24,6-11,254,Denver Nuggets,2018
165,Avery Bradley,SG,https://www.basketball-reference.com/players/b/bradlav01.html,22,6-3,180,Detroit Pistons,2018
166,Reggie Bullock,SF,https://www.basketball-reference.com/players/b/bullore01.html,25,6-6,205,Detroit Pistons,2018
167,Dwight Buycks,PG,https://www.basketball-reference.com/players/b/buyckdw01.html,20,6-3,190,Detroit Pistons,2018
168,Andre Drummond,C,https://www.basketball-reference.com/players/d/drumman01.html,0,6-10,279,Detroit Pistons,2018
169,Henry Ellenson,PF,https://www.basketball-reference.com/players/e/ellenhe01.html,8,6-10,240,Detroit Pistons,2018
170,James Ennis,SF,https://www.basketball-reference.com/players/e/ennisja01.html,33,6-6,215,Detroit Pistons,2018
171,Kay Felder,PG,https://www.basketball-reference.com/players/f/feldeka01.html,22,5-9,176,Detroit Pistons,2018
172,Langston Galloway,SG,https://www.basketball-reference.com/players/g/gallola01.html,9,6-1,200,Detroit Pistons,2018
173,Blake Griffin,PF,https://www.basketball-reference.com/players/g/griffbl01.html,23,6-9,250,Detroit Pistons,2018
174,Tobias Harris,PF,https://www.basketball-reference.com/players/h/harrito02.html,34,6-8,226,Detroit Pistons,2018
175,Reggie Hearn,SG,https://www.basketball-reference.com/players/h/hearnre01.html,38,6-5,210,Detroit Pistons,2018
176,Reggie Jackson,PG,https://www.basketball-reference.com/players/j/jacksre01.html,1,6-3,208,Detroit Pistons,2018
177,Stanley Johnson,SF,https://www.basketball-reference.com/players/j/johnsst04.html,7,6-6,242,Detroit Pistons,2018
178,Luke Kennard,SG,https://www.basketball-reference.com/players/k/kennalu01.html,5,6-5,206,Detroit Pistons,2018
179,Jon Leuer,PF,https://www.basketball-reference.com/players/l/leuerjo01.html,30,6-10,228,Detroit Pistons,2018
180,Boban Marjanovic,C,https://www.basketball-reference.com/players/m/marjabo01.html,51,7-4,290,Detroit Pistons,2018
181,Luis Montero,SG,https://www.basketball-reference.com/players/m/montelu01.html,44,6-7,185,Detroit Pistons,2018
182,Eric Moreland,PF,https://www.basketball-reference.com/players/m/moreler01.html,24,6-10,238,Detroit Pistons,2018
183,Jameer Nelson,PG,https://www.basketball-reference.com/players/n/nelsoja01.html,41,6-0,190,Detroit Pistons,2018
184,Willie Reed,C,https://www.basketball-reference.com/players/r/reedwi02.html,33,6-10,220,Detroit Pistons,2018
185,Ish Smith,PG,https://www.basketball-reference.com/players/s/smithis01.html,14,6-0,175,Detroit Pistons,2018
186,Anthony Tolliver,PF,https://www.basketball-reference.com/players/t/tollian01.html,43,6-8,240,Detroit Pistons,2018
187,Jordan Bell,C,https://www.basketball-reference.com/players/b/belljo01.html,2,6-8,216,Golden State Warriors,2018
188,Chris Boucher,PF,https://www.basketball-reference.com/players/b/bouchch01.html,25,6-9,200,Golden State Warriors,2018
189,Omri Casspi,SF,https://www.basketball-reference.com/players/c/casspom01.html,18,6-9,225,Golden State Warriors,2018
190,Quinn Cook,PG,https://www.basketball-reference.com/players/c/cookqu01.html,4,6-1,180,Golden State Warriors,2018
191,Stephen Curry,PG,https://www.basketball-reference.com/players/c/curryst01.html,30,6-3,185,Golden State Warriors,2018
192,Kevin Durant,SF,https://www.basketball-reference.com/players/d/duranke01.html,35,6-10,240,Golden State Warriors,2018
193,Draymond Green,PF,https://www.basketball-reference.com/players/g/greendr01.html,23,6-6,230,Golden State Warriors,2018
194,Andre Iguodala,SF,https://www.basketball-reference.com/players/i/iguodan01.html,9,6-6,215,Golden State Warriors,2018
195,Damian Jones,C,https://www.basketball-reference.com/players/j/jonesda03.html,15,6-11,245,Golden State Warriors,2018
196,Shaun Livingston,PG,https://www.basketball-reference.com/players/l/livinsh01.html,34,6-7,192,Golden State Warriors,2018
197,Kevon Looney,C,https://www.basketball-reference.com/players/l/looneke01.html,5,6-9,222,Golden State Warriors,2018
198,Patrick McCaw,SG,https://www.basketball-reference.com/players/m/mccawpa01.html,0,6-7,181,Golden State Warriors,2018
199,JaVale McGee,C,https://www.basketball-reference.com/players/m/mcgeeja01.html,1,7-0,270,Golden State Warriors,2018
200,Zaza Pachulia,C,https://www.basketball-reference.com/players/p/pachuza01.html,27,6-11,270,Golden State Warriors,2018
201,Klay Thompson,SG,https://www.basketball-reference.com/players/t/thompkl01.html,11,6-6,215,Golden State Warriors,2018
202,David West,C,https://www.basketball-reference.com/players/w/westda01.html,3,6-9,250,Golden State Warriors,2018
203,Nick Young,SG,https://www.basketball-reference.com/players/y/youngni01.html,6,6-7,210,Golden State Warriors,2018
204,Ryan Anderson,PF,https://www.basketball-reference.com/players/a/anderry01.html,33,6-9,240,Houston Rockets,2018
205,Trevor Ariza,SF,https://www.basketball-reference.com/players/a/arizatr01.html,1,6-8,215,Houston Rockets,2018
206,Tarik Black,C,https://www.basketball-reference.com/players/b/blackta01.html,28,6-9,250,Houston Rockets,2018
207,Bobby Brown,PG,https://www.basketball-reference.com/players/b/brownbo02.html,6,6-2,175,Houston Rockets,2018
208,Markel Brown,SG,https://www.basketball-reference.com/players/b/brownma02.html,26,6-3,190,Houston Rockets,2018
209,Isaiah Canaan,SG,https://www.basketball-reference.com/players/c/canaais01.html,7,6-0,201,Houston Rockets,2018
210,Clint Capela,C,https://www.basketball-reference.com/players/c/capelca01.html,15,6-10,240,Houston Rockets,2018
211,Eric Gordon,SG,https://www.basketball-reference.com/players/g/gordoer01.html,10,6-3,215,Houston Rockets,2018
212,Gerald Green,SG,https://www.basketball-reference.com/players/g/greenge01.html,14,6-6,205,Houston Rockets,2018
213,James Harden,SG,https://www.basketball-reference.com/players/h/hardeja01.html,13,6-5,220,Houston Rockets,2018
214,Nene Hilario,C,https://www.basketball-reference.com/players/h/hilarne01.html,42,6-11,250,Houston Rockets,2018
215,R.J. Hunter,SG,https://www.basketball-reference.com/players/h/hunterj01.html,2,6-5,185,Houston Rockets,2018
216,Aaron Jackson,PG,https://www.basketball-reference.com/players/j/jacksaa01.html,5,6-4,185,Houston Rockets,2018
217,Demetrius Jackson,PG,https://www.basketball-reference.com/players/j/jacksde01.html,2,6-1,201,Houston Rockets,2018
218,Joe Johnson,SF,https://www.basketball-reference.com/players/j/johnsjo02.html,7,6-7,240,Houston Rockets,2018
219,Luc Mbah a Moute,PF,https://www.basketball-reference.com/players/m/mbahalu01.html,12,6-8,230,Houston Rockets,2018
220,Chinanu Onuaku,C,https://www.basketball-reference.com/players/o/onuakch01.html,21,6-10,245,Houston Rockets,2018
221,Chris Paul,PG,https://www.basketball-reference.com/players/p/paulch01.html,3,6-1,175,Houston Rockets,2018
222,Zhou Qi,C,https://www.basketball-reference.com/players/q/qizh01.html,9,7-1,210,Houston Rockets,2018
223,Tim Quarterman,SG,https://www.basketball-reference.com/players/q/quartti01.html,55,6-6,195,Houston Rockets,2018
224,P.J. Tucker,PF,https://www.basketball-reference.com/players/t/tuckepj01.html,4,6-5,245,Houston Rockets,2018
225,Briante Weber,PG,https://www.basketball-reference.com/players/w/weberbr01.html,0,6-2,165,Houston Rockets,2018
226,Troy Williams,SF,https://www.basketball-reference.com/players/w/willitr02.html,5,6-7,218,Houston Rockets,2018
227,Brandan Wright,PF,https://www.basketball-reference.com/players/w/wrighbr03.html,32,6-10,210,Houston Rockets,2018
228,Ike Anigbogu,C,https://www.basketball-reference.com/players/a/anigbik01.html,13,6-10,250,Indiana Pacers,2018
229,Bojan Bogdanovic,SF,https://www.basketball-reference.com/players/b/bogdabo02.html,44,6-8,226,Indiana Pacers,2018
230,Trevor Booker,PF,https://www.basketball-reference.com/players/b/booketr01.html,20,6-8,228,Indiana Pacers,2018
231,Darren Collison,PG,https://www.basketball-reference.com/players/c/collida01.html,2,6-0,175,Indiana Pacers,2018
232,Al Jefferson,C,https://www.basketball-reference.com/players/j/jeffeal01.html,25,6-10,289,Indiana Pacers,2018
233,Cory Joseph,PG,https://www.basketball-reference.com/players/j/josepco01.html,6,6-3,200,Indiana Pacers,2018
234,T.J. Leaf,PF,https://www.basketball-reference.com/players/l/leaftj01.html,22,6-10,222,Indiana Pacers,2018
235,Trey McKinney-Jones,SG,https://www.basketball-reference.com/players/m/mckintr01.html,10,6-5,214,Indiana Pacers,2018
236,Ben Moore,PF,https://www.basketball-reference.com/players/m/moorebe01.html,26,6-8,220,Indiana Pacers,2018
237,Victor Oladipo,SG,https://www.basketball-reference.com/players/o/oladivi01.html,4,6-4,213,Indiana Pacers,2018
