,Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
64,Atlanta Hawks,,Alex Len,New York Knicks,L,10/17/2018,21:26,3,6,.500,0,2,.000,1,2,.500,2,2,4,2,0,1,3,4,7,-14
65,New York Knicks,,Frank Ntilikina,Atlanta Hawks,W,10/17/2018,33:38,2,7,.286,1,2,.500,0,0,,0,5,5,1,3,1,1,1,5,-2
66,New York Knicks,,Tim Hardaway,Atlanta Hawks,W,10/17/2018,28:51,10,22,.455,3,9,.333,8,8,1.000,1,5,6,5,2,0,0,2,31,+14
67,New York Knicks,,Enes Kanter,Atlanta Hawks,W,10/17/2018,27:12,5,9,.556,0,0,,6,7,.857,3,8,11,3,1,1,1,2,16,+7
68,New York Knicks,,Trey Burke,Atlanta Hawks,W,10/17/2018,20:34,6,11,.545,2,3,.667,1,2,.500,1,2,3,4,0,0,2,2,15,+14
69,New York Knicks,,Lance Thomas,Atlanta Hawks,W,10/17/2018,15:30,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,1,1,4,3,+13
70,Cleveland Cavaliers,,Kevin Love,Toronto Raptors,L,10/17/2018,34:05,5,18,.278,1,4,.250,10,14,.714,2,5,7,2,0,0,3,5,21,-3
71,Cleveland Cavaliers,,Cedi Osman,Toronto Raptors,L,10/17/2018,33:05,5,10,.500,2,2,1.000,5,6,.833,3,7,10,4,2,0,3,1,17,-21
72,Cleveland Cavaliers,,George Hill,Toronto Raptors,L,10/17/2018,31:27,5,11,.455,2,3,.667,3,4,.750,1,1,2,7,0,0,1,3,15,-10
73,Cleveland Cavaliers,,Tristan Thompson,Toronto Raptors,L,10/17/2018,27:05,1,5,.200,0,0,,1,2,.500,5,8,13,1,0,0,4,2,3,-20
74,Cleveland Cavaliers,,Rodney Hood,Toronto Raptors,L,10/17/2018,26:19,5,13,.385,0,2,.000,2,2,1.000,1,1,2,1,1,0,0,3,12,-12
75,Toronto Raptors,,Kawhi Leonard,Cleveland Cavaliers,W,10/17/2018,37:15,9,22,.409,1,3,.333,5,6,.833,1,11,12,2,0,0,2,3,24,+13
76,Toronto Raptors,,Kyle Lowry,Cleveland Cavaliers,W,10/17/2018,35:35,10,12,.833,5,6,.833,2,3,.667,0,1,1,8,1,1,3,1,27,+12
77,Toronto Raptors,,Danny Green,Cleveland Cavaliers,W,10/17/2018,32:45,4,9,.444,3,7,.429,0,0,,1,4,5,0,2,2,0,3,11,+15
78,Toronto Raptors,,Jonas Valančiūnas,Cleveland Cavaliers,W,10/17/2018,20:24,3,8,.375,0,2,.000,0,0,,2,10,12,3,0,0,0,2,6,+13
79,Toronto Raptors,,Pascal Siakam,Cleveland Cavaliers,W,10/17/2018,19:57,6,8,.750,1,1,1.000,0,0,,0,2,2,2,0,1,0,2,13,+11
80,New Orleans Pelicans,,Anthony Davis,Houston Rockets,W,10/17/2018,39:07,13,21,.619,0,0,,6,7,.857,2,14,16,8,3,3,1,5,32,+23
81,New Orleans Pelicans,,Jrue Holiday,Houston Rockets,W,10/17/2018,38:16,5,12,.417,0,6,.000,0,0,,0,3,3,8,2,0,3,3,10,+26
82,New Orleans Pelicans,,Elfrid Payton,Houston Rockets,W,10/17/2018,36:52,5,13,.385,0,2,.000,0,2,.000,1,9,10,10,1,0,1,3,10,+23
83,New Orleans Pelicans,,E'Twaun Moore,Houston Rockets,W,10/17/2018,33:44,8,12,.667,1,3,.333,4,4,1.000,2,1,3,2,1,0,2,5,21,+30
84,New Orleans Pelicans,,Nikola Mirotić,Houston Rockets,W,10/17/2018,29:54,11,20,.550,6,8,.750,2,3,.667,7,3,10,3,0,0,1,1,30,+14
85,Houston Rockets,,James Harden,New Orleans Pelicans,L,10/17/2018,34:43,6,15,.400,3,8,.375,3,4,.750,2,7,9,10,3,1,4,2,18,-23
86,Houston Rockets,,P.J. Tucker,New Orleans Pelicans,L,10/17/2018,34:19,6,11,.545,4,7,.571,3,4,.750,0,2,2,1,1,1,0,2,19,-13
87,Houston Rockets,,Chris Paul,New Orleans Pelicans,L,10/17/2018,32:21,6,12,.500,3,7,.429,4,5,.800,0,5,5,6,2,0,1,3,19,-19
88,Houston Rockets,,Clint Capela,New Orleans Pelicans,L,10/17/2018,26:11,4,9,.444,0,0,,0,0,,3,5,8,1,0,1,1,3,8,-14
89,Houston Rockets,,James Ennis,New Orleans Pelicans,L,10/17/2018,24:43,3,7,.429,2,5,.400,0,0,,1,0,1,0,1,0,0,4,8,-5
90,Minnesota Timberwolves,,Andrew Wiggins,San Antonio Spurs,L,10/17/2018,37:27,8,18,.444,2,6,.333,2,2,1.000,0,6,6,3,1,0,2,3,20,0
91,Minnesota Timberwolves,,Jimmy Butler,San Antonio Spurs,L,10/17/2018,31:36,9,23,.391,1,4,.250,4,5,.800,3,4,7,3,4,1,1,2,23,-3
92,Minnesota Timberwolves,,Jeff Teague,San Antonio Spurs,L,10/17/2018,31:32,8,12,.667,2,3,.667,9,9,1.000,0,1,1,4,2,0,2,2,27,-5
93,Minnesota Timberwolves,,Taj Gibson,San Antonio Spurs,L,10/17/2018,26:57,3,4,.750,0,0,,0,0,,2,9,11,0,0,0,1,5,6,-4
94,Minnesota Timberwolves,,Karl-Anthony Towns,San Antonio Spurs,L,10/17/2018,22:23,2,6,.333,1,2,.500,3,3,1.000,2,7,9,3,0,0,3,6,8,-4
95,San Antonio Spurs,,LaMarcus Aldridge,Minnesota Timberwolves,W,10/17/2018,41:39,7,23,.304,0,1,.000,7,10,.700,8,11,19,2,1,3,2,2,21,+6
96,San Antonio Spurs,,DeMar DeRozan,Minnesota Timberwolves,W,10/17/2018,38:11,10,21,.476,1,3,.333,7,11,.636,0,4,4,4,0,0,3,3,28,+7
97,San Antonio Spurs,,Bryn Forbes,Minnesota Timberwolves,W,10/17/2018,30:02,4,10,.400,1,5,.200,2,2,1.000,1,2,3,2,2,0,2,5,11,+2
98,San Antonio Spurs,,Rudy Gay,Minnesota Timberwolves,W,10/17/2018,23:29,8,12,.667,1,1,1.000,1,2,.500,3,4,7,0,0,1,1,3,18,+2
99,San Antonio Spurs,,Jakob Poeltl,Minnesota Timberwolves,W,10/17/2018,7:52,2,4,.500,0,0,,0,0,,4,0,4,2,0,0,0,3,4,+2
100,Utah Jazz,,Rudy Gobert,Sacramento Kings,W,10/17/2018,37:16,7,9,.778,0,0,,5,5,1.000,3,12,15,0,0,3,2,3,19,-9
101,Utah Jazz,,Donovan Mitchell,Sacramento Kings,W,10/17/2018,36:12,8,21,.381,3,10,.300,5,6,.833,0,3,3,2,2,0,4,5,24,-12
102,Utah Jazz,,Joe Ingles,Sacramento Kings,W,10/17/2018,35:13,9,12,.750,4,6,.667,0,0,,0,1,1,6,4,0,5,3,22,-7
103,Utah Jazz,,Derrick Favors,Sacramento Kings,W,10/17/2018,23:33,7,8,.875,0,0,,4,8,.500,1,8,9,1,0,1,2,1,18,+7
104,Utah Jazz,,Ricky Rubio,Sacramento Kings,W,10/17/2018,21:52,0,4,.000,0,0,,1,1,1.000,0,2,2,4,1,0,2,3,1,-17
105,Sacramento Kings,,Willie Cauley-Stein,Utah Jazz,L,10/17/2018,38:25,10,15,.667,0,0,,3,6,.500,2,5,7,4,1,2,0,2,23,+16
106,Sacramento Kings,,De'Aaron Fox,Utah Jazz,L,10/17/2018,37:30,8,16,.500,0,2,.000,5,7,.714,0,4,4,7,3,0,3,5,21,+19
107,Sacramento Kings,,Buddy Hield,Utah Jazz,L,10/17/2018,31:50,9,18,.500,1,4,.250,0,1,.000,1,5,6,1,1,1,4,6,19,+9
108,Sacramento Kings,,Yogi Ferrell,Utah Jazz,L,10/17/2018,30:18,3,7,.429,2,3,.667,4,4,1.000,0,1,1,1,0,0,1,2,12,+10
109,Sacramento Kings,,Nemanja Bjelica,Utah Jazz,L,10/17/2018,27:09,8,12,.667,2,2,1.000,0,0,,1,7,8,2,1,0,0,2,18,+12
110,Denver Nuggets,,Will Barton,Los Angeles Clippers,W,10/17/2018,34:46,6,12,.500,3,5,.600,4,4,1.000,0,5,5,2,0,2,2,2,19,+10
111,Denver Nuggets,,Gary Harris,Los Angeles Clippers,W,10/17/2018,34:25,6,16,.375,0,3,.000,8,8,1.000,3,0,3,2,0,0,0,3,20,+15
112,Denver Nuggets,,Nikola Jokić,Los Angeles Clippers,W,10/17/2018,33:32,6,13,.462,1,4,.250,8,10,.800,2,6,8,5,1,2,2,4,21,+8
113,Denver Nuggets,,Jamal Murray,Los Angeles Clippers,W,10/17/2018,31:38,3,12,.250,1,4,.250,0,0,,2,3,5,3,1,0,1,2,7,+18
114,Denver Nuggets,,Paul Millsap,Los Angeles Clippers,W,10/17/2018,30:19,1,7,.143,0,1,.000,9,12,.750,3,13,16,0,1,1,2,2,11,+20
115,Los Angeles Clippers,,Tobias Harris,Denver Nuggets,L,10/17/2018,40:31,6,13,.462,2,6,.333,5,6,.833,1,9,10,1,0,3,2,4,19,-5
116,Los Angeles Clippers,,Danilo Gallinari,Denver Nuggets,L,10/17/2018,33:53,5,14,.357,4,7,.571,2,2,1.000,2,6,8,1,0,0,1,6,16,+9
117,Los Angeles Clippers,,Avery Bradley,Denver Nuggets,L,10/17/2018,27:56,4,10,.400,0,2,.000,0,0,,2,0,2,0,1,2,2,2,8,-9
118,Los Angeles Clippers,,Patrick Beverley,Denver Nuggets,L,10/17/2018,19:31,0,8,.000,0,5,.000,0,0,,0,4,4,6,0,1,1,5,0,-9
119,Los Angeles Clippers,,Marcin Gortat,Denver Nuggets,L,10/17/2018,18:10,3,5,.600,0,0,,0,0,,0,6,6,2,0,0,0,3,6,-5
120,Dallas Mavericks,,Wesley Matthews,Phoenix Suns,L,10/17/2018,34:21,4,10,.400,2,7,.286,5,6,.833,1,1,2,5,1,0,2,0,15,-15
121,Dallas Mavericks,,Luka Dončić,Phoenix Suns,L,10/17/2018,31:47,5,16,.313,0,5,.000,0,2,.000,2,6,8,4,0,0,4,3,10,-18
122,Dallas Mavericks,,DeAndre Jordan,Phoenix Suns,L,10/17/2018,30:31,5,9,.556,0,0,,1,1,1.000,4,8,12,1,1,1,0,5,11,-21
123,Dallas Mavericks,,Dorian Finney-Smith,Phoenix Suns,L,10/17/2018,30:21,4,7,.571,2,5,.400,2,2,1.000,0,3,3,1,0,3,0,2,12,-16
124,Dallas Mavericks,,Dennis Smith,Phoenix Suns,L,10/17/2018,27:55,6,19,.316,1,4,.250,0,0,,1,1,2,5,3,0,1,2,13,-19
125,Phoenix Suns,,Trevor Ariza,Dallas Mavericks,W,10/17/2018,37:01,7,12,.583,5,9,.556,2,2,1.000,0,8,8,7,1,0,0,2,21,+25
126,Phoenix Suns,,Deandre Ayton,Dallas Mavericks,W,10/17/2018,36:29,8,11,.727,0,0,,2,2,1.000,1,9,10,6,1,1,0,2,18,+17
127,Phoenix Suns,,Isaiah Canaan,Dallas Mavericks,W,10/17/2018,33:34,3,10,.300,2,5,.400,0,0,,0,6,6,7,0,0,1,4,8,+7
128,Phoenix Suns,,Devin Booker,Dallas Mavericks,W,10/17/2018,33:27,12,19,.632,6,10,.600,5,6,.833,0,4,4,7,0,0,3,4,35,+22
129,Phoenix Suns,,Ryan Anderson,Dallas Mavericks,W,10/17/2018,24:01,1,4,.250,0,1,.000,0,0,,3,4,7,3,0,0,1,0,2,+22
130,Chicago Bulls,,Bobby Portis,Philadelphia 76ers,L,10/18/2018,33:06,8,15,.533,3,6,.500,1,2,.500,2,9,11,2,1,1,0,4,20,-3
131,Chicago Bulls,,Zach LaVine,Philadelphia 76ers,L,10/18/2018,32:42,11,19,.579,2,7,.286,6,7,.857,0,5,5,3,0,3,5,5,30,-10
132,Chicago Bulls,,Justin Holiday,Philadelphia 76ers,L,10/18/2018,27:23,4,12,.333,2,9,.222,0,0,,0,4,4,1,0,0,0,2,10,-29
133,Chicago Bulls,,Cameron Payne,Philadelphia 76ers,L,10/18/2018,21:34,0,4,.000,0,1,.000,0,0,,0,1,1,5,1,0,1,1,0,-18
134,Chicago Bulls,,Wendell Carter,Philadelphia 76ers,L,10/18/2018,19:59,4,10,.400,0,0,,0,0,,1,2,3,3,0,1,1,4,8,-18
135,Philadelphia 76ers,,Ben Simmons,Chicago Bulls,W,10/18/2018,33:42,5,8,.625,0,0,,3,3,1.000,1,12,13,11,1,2,3,0,13,+24
136,Philadelphia 76ers,,Joel Embiid,Chicago Bulls,W,10/18/2018,32:51,9,14,.643,0,3,.000,12,14,.857,1,11,12,3,1,4,2,4,30,+26
137,Philadelphia 76ers,,Markelle Fultz,Chicago Bulls,W,10/18/2018,32:08,5,15,.333,1,3,.333,1,2,.500,3,1,4,5,2,0,1,2,12,+5
138,Philadelphia 76ers,,Robert Covington,Chicago Bulls,W,10/18/2018,29:08,6,14,.429,4,11,.364,4,4,1.000,0,5,5,2,2,1,2,2,20,+24
139,Philadelphia 76ers,,Dario Šarić,Chicago Bulls,W,10/18/2018,28:20,4,12,.333,2,6,.333,3,3,1.000,4,6,10,3,1,0,3,2,13,+9
140,Miami Heat,,Josh Richardson,Washington Wizards,W,10/18/2018,38:25,8,21,.381,5,11,.455,7,8,.875,2,2,4,5,1,1,2,1,28,0
141,Miami Heat,,Rodney McGruder,Washington Wizards,W,10/18/2018,34:08,7,12,.583,3,7,.429,3,3,1.000,1,7,8,6,0,1,2,5,20,-1
142,Miami Heat,,Goran Dragić,Washington Wizards,W,10/18/2018,31:15,3,18,.167,1,6,.167,1,1,1.000,3,3,6,8,1,1,3,3,8,0
143,Miami Heat,,Hassan Whiteside,Washington Wizards,W,10/18/2018,28:59,3,6,.500,0,0,,3,5,.600,4,6,10,0,0,1,2,5,9,-4
144,Miami Heat,,Derrick Jones,Washington Wizards,W,10/18/2018,23:51,5,10,.500,1,2,.500,6,9,.667,4,1,5,0,1,0,0,5,17,-3
145,Washington Wizards,,John Wall,Miami Heat,L,10/18/2018,35:49,9,16,.563,1,6,.167,7,10,.700,1,2,3,9,1,4,3,4,26,+6
146,Washington Wizards,,Otto Porter,Miami Heat,L,10/18/2018,33:37,3,7,.429,0,0,,3,4,.750,2,9,11,0,3,3,0,1,9,+1
147,Washington Wizards,,Bradley Beal,Miami Heat,L,10/18/2018,27:11,7,16,.438,2,7,.286,4,6,.667,0,1,1,2,1,0,1,5,20,-6
148,Washington Wizards,,Markieff Morris,Miami Heat,L,10/18/2018,24:50,3,8,.375,2,3,.667,3,4,.750,0,5,5,2,0,2,3,4,11,-1
149,Washington Wizards,,Ian Mahinmi,Miami Heat,L,10/18/2018,11:38,1,2,.500,0,0,,1,2,.500,1,0,1,0,1,2,1,4,3,+3
150,Los Angeles Lakers,,LeBron James,Portland Trail Blazers,L,10/18/2018,37:20,9,16,.563,0,4,.000,8,9,.889,2,10,12,6,1,0,6,3,26,-4
151,Los Angeles Lakers,,Rajon Rondo,Portland Trail Blazers,L,10/18/2018,31:45,6,13,.462,1,2,.500,0,0,,0,4,4,11,1,0,3,6,13,+7
152,Los Angeles Lakers,,Brandon Ingram,Portland Trail Blazers,L,10/18/2018,27:35,7,15,.467,0,4,.000,2,4,.500,1,3,4,1,2,1,1,0,16,+4
153,Los Angeles Lakers,,Kentavious Caldwell-Pope,Portland Trail Blazers,L,10/18/2018,27:18,1,3,.333,1,1,1.000,2,2,1.000,0,2,2,0,0,0,0,1,5,+8
154,Los Angeles Lakers,,JaVale McGee,Portland Trail Blazers,L,10/18/2018,21:35,5,6,.833,0,0,,3,4,.750,3,5,8,1,1,3,0,3,13,-1
155,Portland Trail Blazers,,Damian Lillard,Los Angeles Lakers,W,10/18/2018,35:24,9,21,.429,2,7,.286,8,8,1.000,1,5,6,4,1,1,3,0,28,-8
156,Portland Trail Blazers,,CJ McCollum,Los Angeles Lakers,W,10/18/2018,31:01,6,17,.353,3,6,.500,6,6,1.000,1,4,5,1,0,0,2,4,21,-9
157,Portland Trail Blazers,,Al-Farouq Aminu,Los Angeles Lakers,W,10/18/2018,26:58,1,10,.100,0,6,.000,3,4,.750,0,6,6,0,1,0,1,3,5,+1
158,Portland Trail Blazers,,Jusuf Nurkić,Los Angeles Lakers,W,10/18/2018,17:11,7,14,.500,0,1,.000,2,2,1.000,6,3,9,0,2,0,2,4,16,-17
159,Portland Trail Blazers,,Jake Layman,Los Angeles Lakers,W,10/18/2018,12:40,1,4,.250,1,4,.250,0,0,,0,2,2,0,1,0,1,1,3,-3
160,Charlotte Hornets,,Nicolas Batum,Orlando Magic,W,10/19/2018,29:59,6,8,.750,3,4,.750,0,0,,0,6,6,5,2,0,2,0,15,+32
161,Charlotte Hornets,,Kemba Walker,Orlando Magic,W,10/19/2018,26:46,8,16,.500,5,10,.500,5,5,1.000,0,2,2,5,1,0,3,0,26,+34
