,name,positions,player_url,number,height,weight,team,Year
21,Tyler Zeller,C,https://www.basketball-reference.com/players/z/zellety01.html,45,7-0,253,Atlanta Hawks,2019
22,Aron Baynes,C,https://www.basketball-reference.com/players/b/baynear01.html,46,6-10,260,Boston Celtics,2019
23,Jaylen Brown,SG,https://www.basketball-reference.com/players/b/brownja02.html,7,6-6,223,Boston Celtics,2019
24,PJ Dozier,SG,https://www.basketball-reference.com/players/d/doziepj01.html,50,6-6,205,Boston Celtics,2019
25,Gordon Hayward,PF,https://www.basketball-reference.com/players/h/haywago01.html,20,6-7,225,Boston Celtics,2019
26,Al Horford,C,https://www.basketball-reference.com/players/h/horfoal01.html,42,6-9,240,Boston Celtics,2019
27,R.J. Hunter,SG,https://www.basketball-reference.com/players/h/hunterj01.html,28,6-5,185,Boston Celtics,2019
28,Kyrie Irving,PG,https://www.basketball-reference.com/players/i/irvinky01.html,11,6-2,195,Boston Celtics,2019
29,Greg Monroe,C,https://www.basketball-reference.com/players/m/monrogr01.html,55,6-11,265,Boston Celtics,2019
30,Marcus Morris,PF,https://www.basketball-reference.com/players/m/morrima03.html,13,6-8,218,Boston Celtics,2019
31,Semi Ojeleye,PF,https://www.basketball-reference.com/players/o/ojelese01.html,37,6-6,240,Boston Celtics,2019
32,Terry Rozier,PG,https://www.basketball-reference.com/players/r/roziete01.html,12,6-1,190,Boston Celtics,2019
33,Marcus Smart,SG,https://www.basketball-reference.com/players/s/smartma01.html,36,6-3,220,Boston Celtics,2019
34,Jayson Tatum,SF,https://www.basketball-reference.com/players/t/tatumja01.html,0,6-8,210,Boston Celtics,2019
35,Daniel Theis,C,https://www.basketball-reference.com/players/t/theisda01.html,27,6-8,245,Boston Celtics,2019
36,Brad Wanamaker,PG,https://www.basketball-reference.com/players/w/wanambr01.html,9,6-3,210,Boston Celtics,2019
37,Robert Williams,C,https://www.basketball-reference.com/players/w/williro04.html,44,6-8,237,Boston Celtics,2019
38,Guerschon Yabusele,PF,https://www.basketball-reference.com/players/y/yabusgu01.html,30,6-8,260,Boston Celtics,2019
39,Jarrett Allen,C,https://www.basketball-reference.com/players/a/allenja01.html,31,6-11,243,Brooklyn Nets,2019
40,DeMarre Carroll,PF,https://www.basketball-reference.com/players/c/carrode01.html,9,6-6,215,Brooklyn Nets,2019
41,Allen Crabbe,SG,https://www.basketball-reference.com/players/c/crabbal01.html,33,6-5,212,Brooklyn Nets,2019
42,Mitch Creek,SF,https://www.basketball-reference.com/players/c/creekmi01.html,55,6-5,216,Brooklyn Nets,2019
43,Ed Davis,C,https://www.basketball-reference.com/players/d/davised01.html,17,6-9,218,Brooklyn Nets,2019
44,Spencer Dinwiddie,PG,https://www.basketball-reference.com/players/d/dinwisp01.html,8,6-5,215,Brooklyn Nets,2019
45,Jared Dudley,PF,https://www.basketball-reference.com/players/d/dudleja01.html,6,6-6,237,Brooklyn Nets,2019
46,Kenneth Faried,C,https://www.basketball-reference.com/players/f/farieke01.html,35,6-8,220,Brooklyn Nets,2019
47,Treveon Graham,SG,https://www.basketball-reference.com/players/g/grahatr01.html,21,6-5,219,Brooklyn Nets,2019
48,Joe Harris,SG,https://www.basketball-reference.com/players/h/harrijo01.html,12,6-6,220,Brooklyn Nets,2019
49,Rondae Hollis-Jefferson,SF,https://www.basketball-reference.com/players/h/holliro01.html,24,6-6,217,Brooklyn Nets,2019
50,Rodions Kurucs,SF,https://www.basketball-reference.com/players/k/kurucro01.html,00,6-9,228,Brooklyn Nets,2019
51,Caris LeVert,SF,https://www.basketball-reference.com/players/l/leverca01.html,22,6-6,205,Brooklyn Nets,2019
52,Tahjere McCall,SG,https://www.basketball-reference.com/players/m/mccalta01.html,0,6-5,195,Brooklyn Nets,2019
53,Dzanan Musa,SG,https://www.basketball-reference.com/players/m/musadz01.html,30,6-9,217,Brooklyn Nets,2019
54,Shabazz Napier,PG,https://www.basketball-reference.com/players/n/napiesh01.html,13,6-0,175,Brooklyn Nets,2019
55,Theo Pinson,SG,https://www.basketball-reference.com/players/p/pinsoth01.html,10,6-5,212,Brooklyn Nets,2019
56,D'Angelo Russell,PG,https://www.basketball-reference.com/players/r/russeda01.html,1,6-4,193,Brooklyn Nets,2019
57,Alan Williams,PF,https://www.basketball-reference.com/players/w/willial03.html,15,6-8,265,Brooklyn Nets,2019
58,Dwayne Bacon,SG,https://www.basketball-reference.com/players/b/bacondw01.html,7,6-6,221,Charlotte Hornets,2019
59,Nicolas Batum,SF,https://www.basketball-reference.com/players/b/batumni01.html,5,6-9,230,Charlotte Hornets,2019
60,Bismack Biyombo,C,https://www.basketball-reference.com/players/b/biyombi01.html,8,6-8,255,Charlotte Hornets,2019
61,Miles Bridges,SF,https://www.basketball-reference.com/players/b/bridgmi02.html,0,6-6,225,Charlotte Hornets,2019
62,Joe Chealey,PG,https://www.basketball-reference.com/players/c/chealjo01.html,31,6-3,190,Charlotte Hornets,2019
63,Devonte' Graham,PG,https://www.basketball-reference.com/players/g/grahade01.html,4,6-1,195,Charlotte Hornets,2019
64,Willy Hernangomez,C,https://www.basketball-reference.com/players/h/hernawi01.html,41,6-11,250,Charlotte Hornets,2019
65,Frank Kaminsky,C,https://www.basketball-reference.com/players/k/kaminfr01.html,44,7-0,240,Charlotte Hornets,2019
66,Michael Kidd-Gilchrist,PF,https://www.basketball-reference.com/players/k/kiddgmi01.html,14,6-6,232,Charlotte Hornets,2019
67,Jeremy Lamb,SG,https://www.basketball-reference.com/players/l/lambje01.html,3,6-5,180,Charlotte Hornets,2019
68,Shelvin Mack,PG,https://www.basketball-reference.com/players/m/macksh01.html,6,6-3,203,Charlotte Hornets,2019
69,J.P. Macura,SG,https://www.basketball-reference.com/players/m/macurjp01.html,55,6-5,203,Charlotte Hornets,2019
70,Malik Monk,SG,https://www.basketball-reference.com/players/m/monkma01.html,1,6-3,200,Charlotte Hornets,2019
71,Tony Parker,PG,https://www.basketball-reference.com/players/p/parketo01.html,9,6-2,185,Charlotte Hornets,2019
72,Kemba Walker,PG,https://www.basketball-reference.com/players/w/walkeke02.html,15,6-0,184,Charlotte Hornets,2019
73,Marvin Williams,PF,https://www.basketball-reference.com/players/w/willima02.html,2,6-8,237,Charlotte Hornets,2019
74,Cody Zeller,C,https://www.basketball-reference.com/players/z/zelleco01.html,40,7-0,240,Charlotte Hornets,2019
75,Rawle Alkins,SG,https://www.basketball-reference.com/players/a/alkinra01.html,20,6-5,225,Chicago Bulls,2019
76,Ryan Arcidiacono,PG,https://www.basketball-reference.com/players/a/arcidry01.html,51,6-3,195,Chicago Bulls,2019
77,Antonio Blakeney,SG,https://www.basketball-reference.com/players/b/blakean01.html,9,6-4,192,Chicago Bulls,2019
78,Wendell Carter,C,https://www.basketball-reference.com/players/c/cartewe01.html,34,6-9,270,Chicago Bulls,2019
79,Kris Dunn,PG,https://www.basketball-reference.com/players/d/dunnkr01.html,32,6-3,205,Chicago Bulls,2019
80,Cristiano Felicio,C,https://www.basketball-reference.com/players/f/feliccr01.html,6,6-10,270,Chicago Bulls,2019
81,Shaquille Harrison,SG,https://www.basketball-reference.com/players/h/harrish01.html,3,6-7,190,Chicago Bulls,2019
82,Justin Holiday,SG,https://www.basketball-reference.com/players/h/holidju01.html,7,6-6,180,Chicago Bulls,2019
83,Chandler Hutchison,SF,https://www.basketball-reference.com/players/h/hutchch01.html,15,6-7,210,Chicago Bulls,2019
84,Zach LaVine,SG,https://www.basketball-reference.com/players/l/lavinza01.html,8,6-6,200,Chicago Bulls,2019
85,Walt Lemon,PG,https://www.basketball-reference.com/players/l/lemonwa01.html,25,6-3,180,Chicago Bulls,2019
86,Robin Lopez,C,https://www.basketball-reference.com/players/l/lopezro01.html,42,7-0,281,Chicago Bulls,2019
87,Timothe Luwawu-Cabarrot,SF,https://www.basketball-reference.com/players/l/luwawti01.html,7,6-7,220,Chicago Bulls,2019
88,Lauri Markkanen,PF,https://www.basketball-reference.com/players/m/markkla01.html,24,7-0,240,Chicago Bulls,2019
89,Jabari Parker,PF,https://www.basketball-reference.com/players/p/parkeja01.html,2,6-8,245,Chicago Bulls,2019
90,Cameron Payne,PG,https://www.basketball-reference.com/players/p/payneca01.html,22,6-3,190,Chicago Bulls,2019
91,Otto Porter,SF,https://www.basketball-reference.com/players/p/porteot01.html,22,6-8,198,Chicago Bulls,2019
92,Bobby Portis,PF,https://www.basketball-reference.com/players/p/portibo01.html,5,6-10,250,Chicago Bulls,2019
93,Brandon Sampson,SG,https://www.basketball-reference.com/players/s/sampsbr01.html,44,6-5,184,Chicago Bulls,2019
94,JaKarr Sampson,SF,https://www.basketball-reference.com/players/s/sampsja02.html,41,6-7,214,Chicago Bulls,2019
95,Wayne Selden,SG,https://www.basketball-reference.com/players/s/seldewa01.html,14,6-5,230,Chicago Bulls,2019
96,Tyler Ulis,PG,https://www.basketball-reference.com/players/u/ulisty01.html,0,5-10,160,Chicago Bulls,2019
97,Deng Adel,SF,https://www.basketball-reference.com/players/a/adelde01.html,32,6-7,200,Cleveland Cavaliers,2019
98,Jaron Blossomgame,SF,https://www.basketball-reference.com/players/b/blossja01.html,4,6-8,220,Cleveland Cavaliers,2019
99,Alec Burks,SG,https://www.basketball-reference.com/players/b/burksal01.html,10,6-6,214,Cleveland Cavaliers,2019
100,Marquese Chriss,PF,https://www.basketball-reference.com/players/c/chrisma01.html,3,6-9,240,Cleveland Cavaliers,2019
101,Jordan Clarkson,SG,https://www.basketball-reference.com/players/c/clarkjo01.html,8,6-4,194,Cleveland Cavaliers,2019
102,Sam Dekker,PF,https://www.basketball-reference.com/players/d/dekkesa01.html,15,6-9,230,Cleveland Cavaliers,2019
103,Matthew Dellavedova,PG,https://www.basketball-reference.com/players/d/dellama01.html,18,6-3,200,Cleveland Cavaliers,2019
104,Channing Frye,C,https://www.basketball-reference.com/players/f/fryech01.html,9,7-0,255,Cleveland Cavaliers,2019
105,Andrew Harrison,PG,https://www.basketball-reference.com/players/h/harrian01.html,55,6-6,213,Cleveland Cavaliers,2019
106,George Hill,PG,https://www.basketball-reference.com/players/h/hillge01.html,3,6-3,188,Cleveland Cavaliers,2019
107,John Holland,SF,https://www.basketball-reference.com/players/h/hollajo02.html,10,6-5,205,Cleveland Cavaliers,2019
108,Rodney Hood,SG,https://www.basketball-reference.com/players/h/hoodro01.html,1,6-8,208,Cleveland Cavaliers,2019
109,Jalen Jones,SF,https://www.basketball-reference.com/players/j/jonesja04.html,21,6-7,220,Cleveland Cavaliers,2019
110,Brandon Knight,PG,https://www.basketball-reference.com/players/k/knighbr03.html,20,6-2,182,Cleveland Cavaliers,2019
111,Kyle Korver,PF,https://www.basketball-reference.com/players/k/korveky01.html,26,6-7,212,Cleveland Cavaliers,2019
112,Kevin Love,PF,https://www.basketball-reference.com/players/l/loveke01.html,0,6-8,251,Cleveland Cavaliers,2019
113,Patrick McCaw,SG,https://www.basketball-reference.com/players/m/mccawpa01.html,3,6-7,181,Cleveland Cavaliers,2019
114,Larry Nance,C,https://www.basketball-reference.com/players/n/nancela02.html,22,6-7,245,Cleveland Cavaliers,2019
115,David Nwaba,SG,https://www.basketball-reference.com/players/n/nwabada01.html,12,6-5,219,Cleveland Cavaliers,2019
116,Cedi Osman,SF,https://www.basketball-reference.com/players/o/osmande01.html,16,6-7,230,Cleveland Cavaliers,2019
117,Cameron Payne,PG,https://www.basketball-reference.com/players/p/payneca01.html,3,6-3,190,Cleveland Cavaliers,2019
118,Collin Sexton,PG,https://www.basketball-reference.com/players/s/sextoco01.html,2,6-1,190,Cleveland Cavaliers,2019
119,Kobi Simmons,PG,https://www.basketball-reference.com/players/s/simmoko01.html,3,6-5,166,Cleveland Cavaliers,2019
120,J.R. Smith,SG,https://www.basketball-reference.com/players/s/smithjr01.html,5,6-6,225,Cleveland Cavaliers,2019
121,Nik Stauskas,SG,https://www.basketball-reference.com/players/s/stausni01.html,1,6-6,205,Cleveland Cavaliers,2019
122,Tristan Thompson,C,https://www.basketball-reference.com/players/t/thomptr01.html,13,6-9,254,Cleveland Cavaliers,2019
123,Ante Zizic,C,https://www.basketball-reference.com/players/z/zizican01.html,41,6-10,266,Cleveland Cavaliers,2019
124,Kostas Antetokounmpo,PF,https://www.basketball-reference.com/players/a/antetko01.html,37,6-10,200,Dallas Mavericks,2019
125,J.J. Barea,PG,https://www.basketball-reference.com/players/b/bareajo01.html,5,5-10,180,Dallas Mavericks,2019
126,Harrison Barnes,PF,https://www.basketball-reference.com/players/b/barneha02.html,40,6-8,225,Dallas Mavericks,2019
127,Ryan Broekhoff,SG,https://www.basketball-reference.com/players/b/broekry01.html,45,6-6,215,Dallas Mavericks,2019
128,Jalen Brunson,PG,https://www.basketball-reference.com/players/b/brunsja01.html,13,6-1,190,Dallas Mavericks,2019
129,Trey Burke,PG,https://www.basketball-reference.com/players/b/burketr01.html,23,6-0,185,Dallas Mavericks,2019
130,Luka Doncic,SG,https://www.basketball-reference.com/players/d/doncilu01.html,77,6-7,230,Dallas Mavericks,2019
131,Dorian Finney-Smith,SF,https://www.basketball-reference.com/players/f/finnedo01.html,10,6-7,220,Dallas Mavericks,2019
132,Tim Hardaway,SG,https://www.basketball-reference.com/players/h/hardati02.html,11,6-5,205,Dallas Mavericks,2019
133,Devin Harris,PG,https://www.basketball-reference.com/players/h/harride01.html,34,6-3,185,Dallas Mavericks,2019
134,Justin Jackson,SF,https://www.basketball-reference.com/players/j/jacksju01.html,44,6-7,220,Dallas Mavericks,2019
135,DeAndre Jordan,C,https://www.basketball-reference.com/players/j/jordade01.html,6,6-11,265,Dallas Mavericks,2019
136,Maxi Kleber,PF,https://www.basketball-reference.com/players/k/klebima01.html,42,6-10,240,Dallas Mavericks,2019
137,Courtney Lee,SG,https://www.basketball-reference.com/players/l/leeco01.html,1,6-5,215,Dallas Mavericks,2019
138,Daryl Macon,SG,https://www.basketball-reference.com/players/m/maconda01.html,3,6-2,185,Dallas Mavericks,2019
139,Wesley Matthews,SF,https://www.basketball-reference.com/players/m/matthwe02.html,23,6-4,220,Dallas Mavericks,2019
140,Salah Mejri,C,https://www.basketball-reference.com/players/m/mejrisa01.html,50,7-2,235,Dallas Mavericks,2019
141,Dirk Nowitzki,PF,https://www.basketball-reference.com/players/n/nowitdi01.html,41,7-0,245,Dallas Mavericks,2019
142,Dwight Powell,C,https://www.basketball-reference.com/players/p/poweldw01.html,7,6-10,240,Dallas Mavericks,2019
143,Dennis Smith,PG,https://www.basketball-reference.com/players/s/smithde03.html,1,6-2,205,Dallas Mavericks,2019
144,Ray Spalding,PF,https://www.basketball-reference.com/players/s/spaldra01.html,26,6-10,215,Dallas Mavericks,2019
145,DeVaughn Akoon-Purcell,SG,https://www.basketball-reference.com/players/a/akoonde01.html,23,6-6,200,Denver Nuggets,2019
146,Will Barton,SF,https://www.basketball-reference.com/players/b/bartowi01.html,5,6-5,181,Denver Nuggets,2019
147,Malik Beasley,SG,https://www.basketball-reference.com/players/b/beaslma01.html,25,6-4,187,Denver Nuggets,2019
148,Torrey Craig,SF,https://www.basketball-reference.com/players/c/craigto01.html,3,6-7,221,Denver Nuggets,2019
149,Brandon Goodwin,PG,https://www.basketball-reference.com/players/g/goodwbr01.html,6,6-0,180,Denver Nuggets,2019
150,Gary Harris,SG,https://www.basketball-reference.com/players/h/harriga01.html,14,6-4,210,Denver Nuggets,2019
151,Juan Hernangomez,PF,https://www.basketball-reference.com/players/h/hernaju01.html,41,6-9,214,Denver Nuggets,2019
152,Nikola Jokic,C,https://www.basketball-reference.com/players/j/jokicni01.html,15,7-0,284,Denver Nuggets,2019
153,Tyler Lydon,PF,https://www.basketball-reference.com/players/l/lydonty01.html,20,6-10,225,Denver Nuggets,2019
154,Trey Lyles,PF,https://www.basketball-reference.com/players/l/lylestr01.html,7,6-9,234,Denver Nuggets,2019
155,Paul Millsap,PF,https://www.basketball-reference.com/players/m/millspa01.html,4,6-7,257,Denver Nuggets,2019
156,Monte Morris,PG,https://www.basketball-reference.com/players/m/morrimo01.html,11,6-2,183,Denver Nuggets,2019
157,Jamal Murray,PG,https://www.basketball-reference.com/players/m/murraja01.html,27,6-4,215,Denver Nuggets,2019
158,Mason Plumlee,C,https://www.basketball-reference.com/players/p/plumlma01.html,24,6-11,254,Denver Nuggets,2019
159,Isaiah Thomas,SG,https://www.basketball-reference.com/players/t/thomais02.html,0,5-9,185,Denver Nuggets,2019
160,Jarred Vanderbilt,PF,https://www.basketball-reference.com/players/v/vandeja01.html,8,6-9,214,Denver Nuggets,2019
161,Thomas Welsh,C,https://www.basketball-reference.com/players/w/welshth01.html,45,7-0,255,Denver Nuggets,2019
162,Nick Young,SG,https://www.basketball-reference.com/players/y/youngni01.html,34,6-7,210,Denver Nuggets,2019
163,Bruce Brown,SG,https://www.basketball-reference.com/players/b/brownbr01.html,6,6-4,202,Detroit Pistons,2019
164,Reggie Bullock,SG,https://www.basketball-reference.com/players/b/bullore01.html,25,6-6,205,Detroit Pistons,2019
165,Jose Calderon,PG,https://www.basketball-reference.com/players/c/caldejo01.html,81,6-3,200,Detroit Pistons,2019
166,Andre Drummond,C,https://www.basketball-reference.com/players/d/drumman01.html,0,6-10,279,Detroit Pistons,2019
167,Henry Ellenson,PF,https://www.basketball-reference.com/players/e/ellenhe01.html,8,6-10,240,Detroit Pistons,2019
168,Wayne Ellington,SG,https://www.basketball-reference.com/players/e/ellinwa01.html,20,6-4,207,Detroit Pistons,2019
169,Langston Galloway,SG,https://www.basketball-reference.com/players/g/gallola01.html,9,6-1,200,Detroit Pistons,2019
170,Blake Griffin,PF,https://www.basketball-reference.com/players/g/griffbl01.html,23,6-9,250,Detroit Pistons,2019
171,Reggie Jackson,PG,https://www.basketball-reference.com/players/j/jacksre01.html,1,6-3,208,Detroit Pistons,2019
172,Stanley Johnson,SF,https://www.basketball-reference.com/players/j/johnsst04.html,7,6-6,242,Detroit Pistons,2019
173,Luke Kennard,SG,https://www.basketball-reference.com/players/k/kennalu01.html,5,6-5,206,Detroit Pistons,2019
174,Jon Leuer,PF,https://www.basketball-reference.com/players/l/leuerjo01.html,30,6-10,228,Detroit Pistons,2019
175,Zach Lofton,SG,https://www.basketball-reference.com/players/l/loftoza01.html,18,6-4,180,Detroit Pistons,2019
176,Kalin Lucas,PG,https://www.basketball-reference.com/players/l/lucaska01.html,24,6-1,195,Detroit Pistons,2019
177,Thon Maker,PF,https://www.basketball-reference.com/players/m/makerth01.html,7,7-0,221,Detroit Pistons,2019
178,Sviatoslav Mykhailiuk,SF,https://www.basketball-reference.com/players/m/mykhasv01.html,19,6-7,205,Detroit Pistons,2019
179,Zaza Pachulia,C,https://www.basketball-reference.com/players/p/pachuza01.html,27,6-11,270,Detroit Pistons,2019
180,Glenn Robinson,SF,https://www.basketball-reference.com/players/r/robingl02.html,22,6-6,222,Detroit Pistons,2019
181,Ish Smith,PG,https://www.basketball-reference.com/players/s/smithis01.html,14,6-0,175,Detroit Pistons,2019
182,Khyri Thomas,SG,https://www.basketball-reference.com/players/t/thomakh01.html,13,6-3,210,Detroit Pistons,2019
183,Jordan Bell,C,https://www.basketball-reference.com/players/b/belljo01.html,2,6-8,216,Golden State Warriors,2019
184,Andrew Bogut,C,https://www.basketball-reference.com/players/b/bogutan01.html,12,7-0,260,Golden State Warriors,2019
185,Quinn Cook,PG,https://www.basketball-reference.com/players/c/cookqu01.html,4,6-1,180,Golden State Warriors,2019
186,DeMarcus Cousins,C,https://www.basketball-reference.com/players/c/couside01.html,0,6-10,270,Golden State Warriors,2019
187,Stephen Curry,PG,https://www.basketball-reference.com/players/c/curryst01.html,30,6-3,185,Golden State Warriors,2019
188,Marcus Derrickson,PF,https://www.basketball-reference.com/players/d/derrima01.html,32,6-7,249,Golden State Warriors,2019
189,Kevin Durant,SF,https://www.basketball-reference.com/players/d/duranke01.html,35,6-10,240,Golden State Warriors,2019
190,Jacob Evans,SG,https://www.basketball-reference.com/players/e/evansja02.html,10,6-4,210,Golden State Warriors,2019
191,Draymond Green,PF,https://www.basketball-reference.com/players/g/greendr01.html,23,6-6,230,Golden State Warriors,2019
192,Andre Iguodala,SF,https://www.basketball-reference.com/players/i/iguodan01.html,9,6-6,215,Golden State Warriors,2019
193,Jonas Jerebko,PF,https://www.basketball-reference.com/players/j/jerebjo01.html,21,6-10,231,Golden State Warriors,2019
194,Damian Jones,C,https://www.basketball-reference.com/players/j/jonesda03.html,15,6-11,245,Golden State Warriors,2019
195,Damion Lee,SG,https://www.basketball-reference.com/players/l/leeda03.html,1,6-5,210,Golden State Warriors,2019
196,Shaun Livingston,PG,https://www.basketball-reference.com/players/l/livinsh01.html,34,6-7,192,Golden State Warriors,2019
197,Kevon Looney,C,https://www.basketball-reference.com/players/l/looneke01.html,5,6-9,222,Golden State Warriors,2019
198,Alfonzo McKinnie,SF,https://www.basketball-reference.com/players/m/mckinal01.html,28,6-7,215,Golden State Warriors,2019
199,Klay Thompson,SG,https://www.basketball-reference.com/players/t/thompkl01.html,11,6-6,215,Golden State Warriors,2019
200,Carmelo Anthony,PF,https://www.basketball-reference.com/players/a/anthoca01.html,7,6-8,238,Houston Rockets,2019
201,Clint Capela,C,https://www.basketball-reference.com/players/c/capelca01.html,15,6-10,240,Houston Rockets,2019
202,Michael Carter-Williams,PG,https://www.basketball-reference.com/players/c/cartemi01.html,1,6-5,190,Houston Rockets,2019
203,Chris Chiozza,PG,https://www.basketball-reference.com/players/c/chiozch01.html,2,5-11,175,Houston Rockets,2019
204,Marquese Chriss,PF,https://www.basketball-reference.com/players/c/chrisma01.html,0,6-9,240,Houston Rockets,2019
205,Gary Clark,PF,https://www.basketball-reference.com/players/c/clarkga01.html,6,6-6,225,Houston Rockets,2019
206,Vince Edwards,SF,https://www.basketball-reference.com/players/e/edwarvi01.html,12,6-8,225,Houston Rockets,2019
207,James Ennis,SF,https://www.basketball-reference.com/players/e/ennisja01.html,8,6-6,215,Houston Rockets,2019
208,Kenneth Faried,C,https://www.basketball-reference.com/players/f/farieke01.html,35,6-8,220,Houston Rockets,2019
209,Eric Gordon,SG,https://www.basketball-reference.com/players/g/gordoer01.html,10,6-3,215,Houston Rockets,2019
210,Gerald Green,SG,https://www.basketball-reference.com/players/g/greenge01.html,14,6-6,205,Houston Rockets,2019
211,James Harden,PG,https://www.basketball-reference.com/players/h/hardeja01.html,13,6-5,220,Houston Rockets,2019
212,Isaiah Hartenstein,PF,https://www.basketball-reference.com/players/h/harteis01.html,55,7-0,249,Houston Rockets,2019
213,Nene Hilario,C,https://www.basketball-reference.com/players/h/hilarne01.html,42,6-11,250,Houston Rockets,2019
214,Danuel House,SF,https://www.basketball-reference.com/players/h/houseda01.html,4,6-6,220,Houston Rockets,2019
215,Terrence Jones,PF,https://www.basketball-reference.com/players/j/joneste01.html,9,6-9,252,Houston Rockets,2019
216,Brandon Knight,PG,https://www.basketball-reference.com/players/k/knighbr03.html,2,6-2,182,Houston Rockets,2019
217,James Nunnally,SF,https://www.basketball-reference.com/players/n/nunnaja01.html,21,6-7,208,Houston Rockets,2019
218,Chris Paul,PG,https://www.basketball-reference.com/players/p/paulch01.html,3,6-1,175,Houston Rockets,2019
219,Zhou Qi,PF,https://www.basketball-reference.com/players/q/qizh01.html,9,7-1,210,Houston Rockets,2019
220,Austin Rivers,SG,https://www.basketball-reference.com/players/r/riverau01.html,25,6-3,200,Houston Rockets,2019
221,Iman Shumpert,SG,https://www.basketball-reference.com/players/s/shumpim01.html,1,6-5,215,Houston Rockets,2019
222,P.J. Tucker,PF,https://www.basketball-reference.com/players/t/tuckepj01.html,17,6-5,245,Houston Rockets,2019
223,Ike Anigbogu,C,https://www.basketball-reference.com/players/a/anigbik01.html,13,6-10,250,Indiana Pacers,2019
224,Bojan Bogdanovic,SF,https://www.basketball-reference.com/players/b/bogdabo02.html,44,6-8,226,Indiana Pacers,2019
225,Darren Collison,PG,https://www.basketball-reference.com/players/c/collida01.html,2,6-0,175,Indiana Pacers,2019
226,Tyreke Evans,SG,https://www.basketball-reference.com/players/e/evansty01.html,12,6-6,220,Indiana Pacers,2019
227,Aaron Holiday,PG,https://www.basketball-reference.com/players/h/holidaa01.html,3,6-0,185,Indiana Pacers,2019
228,Alize Johnson,PF,https://www.basketball-reference.com/players/j/johnsal02.html,24,6-7,212,Indiana Pacers,2019
229,Cory Joseph,PG,https://www.basketball-reference.com/players/j/josepco01.html,6,6-3,200,Indiana Pacers,2019
230,T.J. Leaf,PF,https://www.basketball-reference.com/players/l/leaftj01.html,22,6-10,222,Indiana Pacers,2019
231,Wesley Matthews,SG,https://www.basketball-reference.com/players/m/matthwe02.html,23,6-4,220,Indiana Pacers,2019
232,Doug McDermott,SF,https://www.basketball-reference.com/players/m/mcderdo01.html,20,6-7,225,Indiana Pacers,2019
233,Kyle O'Quinn,C,https://www.basketball-reference.com/players/o/oquinky01.html,10,6-9,250,Indiana Pacers,2019
234,Victor Oladipo,SG,https://www.basketball-reference.com/players/o/oladivi01.html,4,6-4,213,Indiana Pacers,2019
235,Davon Reed,SG,https://www.basketball-reference.com/players/r/reedda01.html,32,6-5,208,Indiana Pacers,2019
236,Domantas Sabonis,C,https://www.basketball-reference.com/players/s/sabondo01.html,11,6-11,240,Indiana Pacers,2019
