,Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
262,Sacramento Kings,,Cory Joseph,Phoenix Suns,L,10/23/2019,20:53,3,6,.500,0,1,.000,4,4,1.000,0,1,1,4,1,1,3,2,10,-12
263,Sacramento Kings,,Nemanja Bjelica,Phoenix Suns,L,10/23/2019,20:40,2,6,.333,1,4,.250,0,0,,1,3,4,2,2,0,1,0,5,-9
264,Sacramento Kings,,Richaun Holmes,Phoenix Suns,L,10/23/2019,17:25,0,2,.000,0,0,,1,2,.500,1,4,5,0,0,1,1,3,1,-8
265,Sacramento Kings,,Yogi Ferrell,Phoenix Suns,L,10/23/2019,3:59,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,-5
266,Sacramento Kings,,Caleb Swanigan,Phoenix Suns,L,10/23/2019,1:59,0,0,,0,0,,1,2,.500,1,1,2,0,0,1,1,1,1,+1
267,Sacramento Kings,,Wenyen Gabriel,Phoenix Suns,L,10/23/2019,1:59,0,0,,0,0,,1,2,.500,1,0,1,0,0,0,1,0,1,+1
268,Phoenix Suns,,Mikal Bridges,Sacramento Kings,W,10/23/2019,23:12,1,4,.250,0,2,.000,3,4,.750,0,3,3,1,3,0,0,2,5,+19
269,Phoenix Suns,,Frank Kaminsky,Sacramento Kings,W,10/23/2019,19:24,4,7,.571,0,3,.000,1,1,1.000,2,2,4,2,0,0,0,0,9,+2
270,Phoenix Suns,,Jevon Carter,Sacramento Kings,W,10/23/2019,18:19,4,7,.571,3,5,.600,0,0,,0,1,1,3,0,1,1,5,11,+14
271,Phoenix Suns,,Tyler Johnson,Sacramento Kings,W,10/23/2019,16:38,4,8,.500,2,4,.500,0,0,,0,2,2,2,2,1,2,1,10,+10
272,Phoenix Suns,,Aron Baynes,Sacramento Kings,W,10/23/2019,9:47,2,3,.667,1,1,1.000,0,0,,0,2,2,1,0,0,2,4,5,+7
273,Phoenix Suns,,Elie Okobo,Sacramento Kings,W,10/23/2019,1:59,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-1
274,Phoenix Suns,,Cheick Diallo,Sacramento Kings,W,10/23/2019,1:59,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,2,2,-1
275,Phoenix Suns,,Jared Harper,Sacramento Kings,W,10/23/2019,1:59,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1
276,Atlanta Hawks,,Trae Young,Detroit Pistons,W,10/24/2019,37:15,11,21,.524,6,10,.600,10,12,.833,0,7,7,9,1,0,6,0,38,+17
277,Atlanta Hawks,,John Collins,Detroit Pistons,W,10/24/2019,30:14,8,15,.533,1,3,.333,1,1,1.000,3,7,10,1,2,1,0,2,18,+4
278,Atlanta Hawks,,De'Andre Hunter,Detroit Pistons,W,10/24/2019,25:27,5,8,.625,2,3,.667,2,2,1.000,0,2,2,0,0,0,2,0,14,+12
279,Atlanta Hawks,,Alex Len,Detroit Pistons,W,10/24/2019,23:53,1,5,.200,0,2,.000,2,2,1.000,2,4,6,1,2,1,1,2,4,+1
280,Atlanta Hawks,,Cam Reddish,Detroit Pistons,W,10/24/2019,21:27,0,6,.000,0,5,.000,1,2,.500,1,6,7,1,1,0,0,1,1,+11
281,Detroit Pistons,,Andre Drummond,Atlanta Hawks,L,10/24/2019,36:45,8,12,.667,0,0,,5,6,.833,1,11,12,2,4,1,4,4,21,-15
282,Detroit Pistons,,Tony Snell,Atlanta Hawks,L,10/24/2019,33:36,3,8,.375,3,7,.429,0,0,,1,1,2,2,0,1,0,2,9,-17
283,Detroit Pistons,,Markieff Morris,Atlanta Hawks,L,10/24/2019,25:43,3,11,.273,1,4,.250,0,0,,3,3,6,2,0,0,2,3,7,-14
284,Detroit Pistons,,Bruce Brown,Atlanta Hawks,L,10/24/2019,17:24,1,3,.333,0,1,.000,0,0,,0,2,2,0,0,0,1,5,2,-14
285,Detroit Pistons,,Reggie Jackson,Atlanta Hawks,L,10/24/2019,15:25,2,8,.250,0,3,.000,1,1,1.000,1,3,4,3,0,0,0,1,5,-1
286,Atlanta Hawks,,DeAndre' Bembry,Detroit Pistons,W,10/24/2019,23:31,4,5,.800,0,1,.000,0,0,,1,1,2,3,2,0,0,1,8,+11
287,Atlanta Hawks,,Jabari Parker,Detroit Pistons,W,10/24/2019,22:41,8,11,.727,1,2,.500,1,1,1.000,0,1,1,0,0,0,0,1,18,+10
288,Atlanta Hawks,,Evan Turner,Detroit Pistons,W,10/24/2019,16:48,4,4,1.000,0,0,,1,1,1.000,0,0,0,4,1,0,0,0,9,+7
289,Atlanta Hawks,,Bruno Fernando,Detroit Pistons,W,10/24/2019,14:26,3,6,.500,1,1,1.000,0,0,,1,2,3,2,0,0,0,2,7,+7
