,Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
60,Memphis Grizzlies,,Jae Crowder,Miami Heat,L,10/23/2019,30:17,3,11,.273,2,9,.222,5,6,.833,2,3,5,2,1,0,1,1,13,-9
61,Memphis Grizzlies,,Jaren Jackson,Miami Heat,L,10/23/2019,29:56,5,12,.417,0,6,.000,7,9,.778,1,2,3,0,1,2,3,5,17,-11
62,Memphis Grizzlies,,Ja Morant,Miami Heat,L,10/23/2019,25:09,6,12,.500,0,1,.000,2,4,.500,0,4,4,4,1,1,6,4,14,-29
63,Memphis Grizzlies,,Dillon Brooks,Miami Heat,L,10/23/2019,18:10,3,7,.429,1,2,.500,0,0,,0,5,5,1,1,1,2,5,7,-16
64,Memphis Grizzlies,,Jonas Valančiūnas,Miami Heat,L,10/23/2019,16:09,3,7,.429,0,2,.000,1,2,.500,0,1,1,1,1,1,3,5,7,-19
65,Miami Heat,,Justise Winslow,Memphis Grizzlies,W,10/23/2019,36:58,10,21,.476,1,2,.500,6,9,.667,2,5,7,7,1,1,3,2,27,+22
66,Miami Heat,,Tyler Herro,Memphis Grizzlies,W,10/23/2019,33:54,6,14,.429,1,2,.500,1,1,1.000,0,8,8,1,2,0,1,2,14,+10
67,Miami Heat,,Kendrick Nunn,Memphis Grizzlies,W,10/23/2019,26:31,10,18,.556,1,2,.500,3,3,1.000,0,2,2,3,2,0,1,5,24,+27
68,Miami Heat,,Bam Adebayo,Memphis Grizzlies,W,10/23/2019,24:03,3,7,.429,0,0,,8,10,.800,4,7,11,3,1,0,5,3,14,+10
69,Miami Heat,,Meyers Leonard,Memphis Grizzlies,W,10/23/2019,18:41,0,2,.000,0,2,.000,0,0,,0,3,3,0,1,0,0,4,0,-6
70,Boston Celtics,,Jayson Tatum,Philadelphia 76ers,L,10/23/2019,37:13,8,22,.364,4,8,.500,1,3,.333,1,9,10,2,2,0,4,2,21,-4
71,Boston Celtics,,Gordon Hayward,Philadelphia 76ers,L,10/23/2019,35:11,8,15,.533,0,0,,9,11,.818,0,5,5,2,0,0,1,4,25,-11
72,Boston Celtics,,Kemba Walker,Philadelphia 76ers,L,10/23/2019,34:15,4,18,.222,1,6,.167,3,4,.750,2,0,2,2,0,0,3,4,12,-16
73,Boston Celtics,,Enes Kanter,Philadelphia 76ers,L,10/23/2019,24:58,5,8,.625,0,1,.000,2,7,.286,3,3,6,2,0,0,0,3,12,-12
74,Boston Celtics,,Jaylen Brown,Philadelphia 76ers,L,10/23/2019,20:52,3,6,.500,1,2,.500,1,3,.333,0,7,7,0,1,0,1,5,8,-12
75,Philadelphia 76ers,,Tobias Harris,Boston Celtics,W,10/23/2019,37:37,6,11,.545,2,5,.400,1,2,.500,1,14,15,4,2,0,4,3,15,+16
76,Philadelphia 76ers,,Ben Simmons,Boston Celtics,W,10/23/2019,34:59,11,16,.688,0,0,,2,5,.400,2,6,8,9,0,0,4,4,24,+15
77,Philadelphia 76ers,,Josh Richardson,Boston Celtics,W,10/23/2019,33:06,4,12,.333,0,4,.000,9,9,1.000,2,4,6,2,1,2,2,4,17,+22
78,Philadelphia 76ers,,Al Horford,Boston Celtics,W,10/23/2019,31:11,5,13,.385,1,6,.167,5,6,.833,1,1,2,3,1,0,1,5,16,+6
79,Philadelphia 76ers,,Joel Embiid,Boston Celtics,W,10/23/2019,23:15,5,14,.357,1,4,.250,4,8,.500,4,9,13,3,0,3,0,5,15,+16
80,Washington Wizards,,Bradley Beal,Dallas Mavericks,L,10/23/2019,31:45,7,25,.280,1,11,.091,4,6,.667,0,6,6,9,3,0,2,4,19,+1
81,Washington Wizards,,Thomas Bryant,Dallas Mavericks,L,10/23/2019,30:45,4,9,.444,0,2,.000,6,6,1.000,4,7,11,3,0,0,3,0,14,-16
82,Washington Wizards,,Rui Hachimura,Dallas Mavericks,L,10/23/2019,24:51,7,15,.467,0,3,.000,0,0,,4,6,10,0,0,0,0,2,14,+2
83,Washington Wizards,,Ish Smith,Dallas Mavericks,L,10/23/2019,24:15,3,9,.333,1,4,.250,0,0,,1,2,3,4,0,1,2,4,7,-4
84,Washington Wizards,,Isaac Bonga,Dallas Mavericks,L,10/23/2019,22:54,4,5,.800,1,2,.500,0,1,.000,1,2,3,2,1,1,1,4,9,0
